,1,2,3,4,5
369,1447.7,1458.1,716.1,,
370,1447.7,1458.1,725.9,,
371,1447.7,1458.1,735.8,,
372,1447.7,1458.1,745.6,,
373,1447.7,1458.1,755.5,,
374,1447.7,1458.1,765.3,,
375,1447.7,1458.1,775.2,,
376,1447.7,1458.1,785.1,,
377,1447.7,1458.1,794.9,,
378,1447.7,1458.1,804.8,,
379,1447.7,1458.1,814.6,,
380,1447.7,1458.1,824.5,,
381,1447.7,1458.1,834.3,,
382,1447.7,1458.1,844.2,,
383,1447.7,1458.1,854,,
384,1447.7,1458.1,863.9,,
385,1447.7,1458.1,873.7,,
386,1447.7,1458.1,883.6,,
387,1447.7,1458.1,893.4,,
388,1447.7,1458.1,903.3,,
389,1447.7,1458.1,913.1,,
390,1447.7,1458.1,923,,
391,1447.7,1458.1,932.8,,
392,1447.7,1458.1,942.7,,
393,1447.7,1458.1,952.5,,
394,1447.7,1458.1,962.4,,
395,1447.7,1458.1,972.2,,
396,1447.7,1458.1,982.1,,
397,1447.7,1458.1,991.9,,
398,1447.7,1458.1,1001.8,,
399,1447.7,1458.1,1011.6,,
400,1447.7,1458.1,1021.5,,
401,1447.7,1458.1,1031.4,,
402,1431.7,1458.1,1041.2,,
403,1425.2,1458.1,1051.1,,
404,1415.3,1458.1,1060.9,,
405,1405.5,1458.1,1070.8,,
406,1395.6,1458.1,1080.6,,
407,1385.8,1458.1,1090.5,,
408,1375.9,1458.1,1100.3,,
409,1366.1,1458.1,1110.2,,
410,1356.2,1458.1,1120,,
411,1346.3,1458.1,1129.9,,
412,1336.5,1458.1,1139.7,,
413,1326.6,1458.1,1149.6,,
414,1316.8,1458.1,1159.4,,
415,1306.9,1458.1,1169.3,,
416,1297.1,1458.1,1179.1,,
417,1287.2,1458.1,1189,,
418,1277.4,1458.1,1198.8,,
419,1267.5,1458.1,1208.7,,
420,1257.7,1458.1,1218.5,,
421,1247.8,1458.1,1228.4,,
422,1238,1458.1,1238.2,,
423,1228.1,1458.1,1248.1,,
424,1218.3,1458.1,1257.9,,
425,1208.4,1458.1,1267.8,,
426,1198.6,1458.1,1277.7,,
427,1188.7,1458.1,1287.5,,
428,1178.9,1458.1,1297.4,,
429,1169,1458.1,1307.2,,
430,1159.2,1458.1,1317.1,,
431,1149.3,1458.1,1326.9,,
432,1139.5,1458.1,1336.8,,
433,1129.6,1458.1,1346.6,,
434,1119.8,1458.1,1356.5,,
435,1109.9,1458.1,1366.3,,
436,1100,1458.1,1376.2,,
437,1090.2,1458.1,1386,,
438,1080.3,1458.1,1395.9,,
439,1070.5,1458.1,1405.7,,
440,1060.6,1458.1,1415.6,,
441,1050.8,1458.1,1425.4,,
442,1040.9,1458.1,1435.3,,
443,1031.1,1458.1,1445.1,,
444,1021.2,1458.1,1455,,
445,1011.4,1458.1,1458.1,6.8,
446,1001.5,1458.1,1458.1,16.6,
447,991.7,1458.1,1458.1,26.5,
448,981.8,1458.1,1458.1,36.3,
449,972,1458.1,1458.1,46.2,
450,962.1,1458.1,1458.1,56,
451,952.3,1458.1,1458.1,65.9,
452,942.4,1458.1,1458.1,75.7,
453,932.6,1458.1,1458.1,85.6,
454,922.7,1458.1,1458.1,95.4,
455,912.9,1458.1,1458.1,105.3,
456,903,1458.1,1458.1,115.1,
457,893.2,1458.1,1458.1,125,
458,883.3,1458.1,1458.1,134.8,
459,873.5,1458.1,1458.1,144.7,
460,863.6,1458.1,1458.1,154.5,
461,853.8,1458.1,1458.1,164.4,
462,843.9,1458.1,1458.1,174.2,
463,834,1458.1,1458.1,184.1,
464,824.2,1458.1,1458.1,193.9,
465,814.3,1458.1,1458.1,203.8,
466,804.5,1458.1,1458.1,213.6,
467,794.6,1458.1,1458.1,223.5,
468,784.8,1458.1,1458.1,233.3,
469,774.9,1458.1,1458.1,243.2,
470,765.1,1458.1,1458.1,253,
471,755.2,1458.1,1458.1,262.9,
472,745.4,1458.1,1458.1,272.7,
473,735.5,1458.1,1458.1,282.6,
474,725.7,1458.1,1458.1,292.5,
475,715.8,1458.1,1458.1,302.3,
476,706,1458.1,1458.1,312.2,
477,696.1,1458.1,1458.1,322,
478,686.3,1458.1,1458.1,331.9,
479,676.4,1458.1,1458.1,341.7,
480,666.6,1458.1,1458.1,351.6,
481,656.7,1458.1,1458.1,361.4,
482,646.9,1458.1,1458.1,371.3,
483,637,1458.1,1458.1,381.1,
484,627.2,1458.1,1458.1,391,
485,617.3,1458.1,1458.1,400.8,
486,607.5,1458.1,1458.1,410.7,
487,597.6,1458.1,1458.1,420.5,
488,587.7,1458.1,1458.1,430.4,
489,577.9,1458.1,1458.1,440.2,
490,568,1458.1,1458.1,450.1,
491,558.2,1458.1,1458.1,459.9,
492,548.3,1458.1,1458.1,469.8,
493,538.5,1458.1,1458.1,479.6,
494,528.6,1458.1,1458.1,489.5,
495,518.8,1458.1,1458.1,499.3,
496,508.9,1458.1,1458.1,509.2,
497,499.1,1458.1,1458.1,519,
498,489.2,1458.1,1458.1,528.9,
499,479.4,1458.1,1458.1,538.8,
500,469.5,1458.1,1458.1,548.6,
501,459.7,1458.1,1458.1,558.5,
502,449.8,1458.1,1458.1,568.3,
503,440,1458.1,1458.1,578.2,
504,430.1,1458.1,1458.1,588,
505,420.3,1458.1,1458.1,597.9,
506,410.4,1458.1,1458.1,607.7,
507,400.6,1458.1,1458.1,617.6,
508,390.7,1458.1,1458.1,627.4,
509,380.9,1458.1,1458.1,637.3,
510,371,1458.1,1458.1,647.1,
511,361.2,1458.1,1458.1,657,
512,351.3,1458.1,1458.1,666.8,
513,341.5,1458.1,1458.1,676.7,
514,331.6,1458.1,1458.1,686.5,
515,321.8,1458.1,1458.1,696.4,
516,311.9,1458.1,1458.1,706.2,
517,302.1,1458.1,1458.1,716.1,
518,292.2,1458.1,1458.1,725.9,
519,282.3,1458.1,1458.1,735.8,
520,272.5,1458.1,1458.1,745.6,
521,262.6,1458.1,1458.1,755.5,
522,252.8,1458.1,1458.1,765.3,
523,242.9,1458.1,1458.1,775.2,
524,233.1,1458.1,1458.1,785.1,
525,223.2,1458.1,1458.1,794.9,
526,213.4,1458.1,1458.1,804.8,
527,203.5,1458.1,1458.1,814.6,
528,193.7,1458.1,1458.1,824.5,
529,183.8,1458.1,1458.1,834.3,
530,174,1458.1,1458.1,844.2,
531,164.1,1458.1,1458.1,854,
532,154.3,1458.1,1458.1,863.9,
533,144.4,1458.1,1458.1,873.7,
534,134.6,1458.1,1458.1,883.6,
535,124.8,1458.1,1458.1,893.4,
536,114.9,1458.1,1458.1,903.3,
537,105.1,1458.1,1458.1,913.1,
538,95.2,1458.1,1458.1,923,
539,85.4,1458.1,1458.1,932.8,
540,75.5,1458.1,1458.1,942.7,
541,65.7,1458.1,1458.1,952.5,
542,55.9,1458.1,1458.1,962.4,
543,46,1458.1,1458.1,972.2,
544,36.2,1458.1,1458.1,982.1,
545,26.5,1458.1,1458.1,991.9,
546,16.8,1458.1,1458.1,1001.8,
547,7.5,1458.1,1458.1,1011.6,
548,5.1,1458.1,1458.1,1021.5,
549,,1444.9,1458.1,1031.4,
550,,1435,1458.1,1041.2,
551,,1425.2,1458.1,1051.1,
552,,1415.3,1458.1,1060.9,
553,,1405.5,1458.1,1070.8,
554,,1395.6,1458.1,1080.6,
555,,1385.8,1458.1,1090.5,
556,,1375.9,1458.1,1100.3,
557,,1366.1,1458.1,1110.2,
558,,1356.2,1458.1,1120,
559,,1346.3,1458.1,1129.9,
560,,1336.5,1458.1,1139.7,
561,,1326.6,1458.1,1149.6,
562,,1316.8,1458.1,1159.4,
563,,1306.9,1458.1,1169.3,
564,,1297.1,1458.1,1179.1,
565,,1287.2,1458.1,1189,
566,,1277.4,1458.1,1198.8,
567,,1267.5,1458.1,1208.7,
568,,1257.7,1458.1,1218.5,
569,,1247.8,1458.1,1228.4,
570,,1238,1458.1,1238.2,
