layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,A,200,6.172500835683596,True,79.14990271754289,5,0.865924,0.0014821953237866836,6400.0,1144.8,X6400.0 Y1144.8,"[6.17398460366573, 6.171020213018156]",3.873821496963501,2025-06-04_13-01-45
X,A,201,6.100302636020776,True,78.68564282575048,5,0.8634378,0.013017589039151733,6400.0,1149.6,X6400.0 Y1149.6,"[6.113340200297862, 6.087305022219558]",1.6160593032836914,2025-06-04_13-01-46
X,A,202,6.1344010730503085,True,78.90524820553578,5,0.80589277,0.04763706531659029,6400.0,1154.4,X6400.0 Y1154.4,"[6.086904173805569, 6.182178304438749]",2.0814437866210938,2025-06-04_13-01-48
X,A,203,6.254248375437065,True,79.6723026142901,5,0.8535501,0.0647166250806035,6400.0,1159.2,X6400.0 Y1159.2,"[6.189763945724334, 6.319197195885541]",1.7396576404571533,2025-06-04_13-01-50
X,A,204,6.291841700399953,True,79.911392846873,5,0.8659185,0.004931643026688803,6400.0,1164.0,X6400.0 Y1164.0,"[6.286915960325701, 6.296779246379079]",2.1256351470947266,2025-06-04_13-01-52
X,A,205,6.1843818066064005,True,79.22604086945293,5,0.85478437,0.009447850114540746,6400.0,1168.8,X6400.0 Y1168.8,"[6.174947022148857, 6.193842722377939]",2.7247307300567627,2025-06-04_13-01-55
X,A,206,6.19003290547108,True,79.26222977025402,5,0.859723,0.03966450960255807,6400.0,1173.6,X6400.0 Y1173.6,"[6.229800659404219, 6.150471640199103]",1.4437408447265625,2025-06-04_13-01-56
X,A,207,6.150906277044797,True,79.01132802945605,5,0.8760493,0.0321854216491384,6400.0,1178.4,X6400.0 Y1178.4,"[6.1831660196776825, 6.118795176379406]",2.401017427444458,2025-06-04_13-01-59
X,A,208,6.207916641292411,True,79.37664615875431,5,0.85365987,0.012577713509389188,6400.0,1183.2,X6400.0 Y1183.2,"[6.195357888919711, 6.220513315938489]",3.355259656906128,2025-06-04_13-02-02
X,A,209,6.1347288917504805,True,78.90735650184952,5,0.8044634,0.02385565355729824,6400.0,1188.0,X6400.0 Y1188.0,"[6.158631616143665, 6.110920309029068]",1.4033472537994385,2025-06-04_13-02-03
X,A,210,6.2807766491122745,True,79.8410944508494,5,0.7853179,0.06882750599328791,6400.0,1192.8,X6400.0 Y1192.8,"[6.349861609752241, 6.2122065977656655]",1.9082927703857422,2025-06-04_13-02-05
X,A,211,6.108710896819258,True,78.73985174148494,5,0.80397844,0.01346299841551124,6400.0,1197.6,X6400.0 Y1197.6,"[6.095268792636163, 6.122194789467185]",1.7356407642364502,2025-06-04_13-02-07
X,A,212,6.12477096125774,True,78.84328903411551,5,0.80521595,0.02858593758291539,6400.0,1202.4,X6400.0 Y1202.4,"[6.153418867749884, 6.096246992584053]",2.4848861694335938,2025-06-04_13-02-10
X,A,213,6.124130490537694,True,78.83916658295718,5,0.8610538,0.01950914312577723,6400.0,1207.2,X6400.0 Y1207.2,"[6.1046564131902095, 6.143674699441764]",2.9284238815307617,2025-06-04_13-02-13
X,A,214,6.146741422342375,True,78.98457372613952,5,0.8637785,0.044105277264204545,6400.0,1212.0,X6400.0 Y1212.0,"[6.102759412017205, 6.190969966545614]",1.517200231552124,2025-06-04_13-02-14
X,A,215,6.159732147136524,True,79.06799396713268,5,0.87484664,0.021365342287227307,6400.0,1216.8,X6400.0 Y1216.8,"[6.181137402762279, 6.138406718187825]",2.109276056289673,2025-06-04_13-02-16
X,A,216,6.429486454990288,True,80.78076275283587,5,0.7628746,0.09564441182351624,6400.0,1221.6,X6400.0 Y1221.6,"[6.525582300542349, 6.334293476895317]",1.2580795288085938,2025-06-04_13-02-17
X,A,217,6.469902907910678,True,81.03426333532603,5,0.8472259,0.042973382461680476,6400.0,1226.4,X6400.0 Y1226.4,"[6.512990664004008, 6.427043899080647]",1.671546459197998,2025-06-04_13-02-19
X,A,218,6.121382424007162,True,78.82147594217373,5,0.88745964,0.004631047272758426,6400.0,1231.2,X6400.0 Y1231.2,"[6.126018982850038, 6.116756888304521]",2.459524154663086,2025-06-04_13-02-22
X,A,219,6.109742084047047,True,78.74649734188417,5,0.84474313,0.022027867439708526,6400.0,1236.0,X6400.0 Y1236.0,"[6.087756121074197, 6.131811855953614]",2.9402670860290527,2025-06-04_13-02-25
X,A,220,6.171449189230279,True,79.14315980551905,5,0.8741293,0.0304966190387832,6400.0,1240.8,X6400.0 Y1240.8,"[6.141020772372017, 6.202014010449584]",2.495089054107666,2025-06-04_13-02-27
X,A,221,5.7733818594442985,True,76.5481939115746,5,0.82463574,0.05244185723239392,6400.0,1245.6,X6400.0 Y1245.6,"[5.8259952972370135, 5.721111582772226]",1.7002382278442383,2025-06-04_13-02-29
X,A,222,6.144179071613561,True,78.96810912624963,5,0.8102585,0.019941546443193126,6400.0,1250.4,X6400.0 Y1250.4,"[6.124273667179386, 6.164156760065772]",2.426722764968872,2025-06-04_13-02-31
X,A,223,6.326841941007522,True,80.1333500431262,5,0.8386146,0.01755825444683401,6400.0,1255.2,X6400.0 Y1255.2,"[6.344429953157389, 6.309313444263721]",2.8013827800750732,2025-06-04_13-02-34
X,A,224,5.944002031438171,True,77.6710687917059,5,0.87337273,0.008701271218980455,6400.0,1259.9,X6400.0 Y1259.9,"[5.9527151970221075, 5.935312654584147]",3.709214687347412,2025-06-04_13-02-38
X,A,225,6.111784610318612,True,78.75965897350757,5,0.8575207,0.03773665539331983,6400.0,1264.7,X6400.0 Y1264.7,"[6.149617290105666, 6.074143979319026]",1.875561237335205,2025-06-04_13-02-40
X,A,226,6.082540132433313,True,78.57100319374464,5,0.828099,0.008395286167400595,6400.0,1269.5,X6400.0 Y1269.5,"[6.090946719133844, 6.074156146799043]",2.37898850440979,2025-06-04_13-02-42
X,A,227,6.132261394699434,True,78.89148593485561,5,0.85461617,0.012591052513083234,6400.0,1274.3,X6400.0 Y1274.3,"[6.119689408960631, 6.144871513986797]",2.4622597694396973,2025-06-04_13-02-44
X,A,228,6.01942428700905,True,78.16229179183443,5,0.8860322,0.004132641501037426,6400.0,1279.1,X6400.0 Y1279.1,"[6.02356177460441, 6.015296491602335]",2.4115853309631348,2025-06-04_13-02-47
