wire_number,mu_A,mu_B,n_A,n_B
85,6.519999980926514,6.409999847412109,42,42
86,6.440000057220459,6.434999942779541,42,42
87,6.489999771118164,6.4700000286102295,42,42
88,6.555000066757202,6.4049999713897705,42,42
89,6.424999952316284,6.460000038146973,42,42
90,6.434999942779541,6.355000019073486,42,42
91,6.585000038146973,6.489999771118164,42,42
92,6.519999980926514,6.424999952316284,42,42
93,6.5299999713897705,6.434999942779541,42,42
94,6.510000228881836,6.424999952316284,42,42
95,6.4599997997283936,6.460000038146973,42,42
96,6.644999980926514,6.370000123977661,42,42
97,6.4049999713897705,6.409999847412109,42,42
98,6.394999980926514,6.5,42,42
99,6.460000038146973,6.440000057220459,42,42
100,6.4700000286102295,6.450000047683716,42,42
101,6.4049999713897705,6.489999771118164,42,42
102,6.510000228881836,6.4049999713897705,42,42
103,6.445000171661377,6.510000228881836,42,42
104,6.444999933242798,6.434999942779541,42,42
105,6.409999847412109,6.5,42,42
106,6.450000047683716,6.484999895095825,42,42
107,6.360000133514404,6.510000228881836,42,42
108,6.525000095367432,6.370000123977661,42,42
109,6.4700000286102295,6.504999876022339,42,42
110,6.409999847412109,6.4049999713897705,42,42
111,6.365000009536743,6.430000066757202,42,42
112,6.400000095367432,6.4700000286102295,42,42
113,6.420000076293945,6.419999837875366,42,42
114,6.400000095367432,6.390000104904175,42,42
115,6.515000104904175,6.450000047683716,42,42
116,6.4049999713897705,6.390000104904175,42,42
117,6.4049999713897705,6.419999837875366,42,42
118,6.380000114440918,6.419999837875366,42,42
119,6.480000019073486,6.4049999713897705,42,42
120,6.424999952316284,6.370000123977661,42,42
121,6.5299999713897705,6.370000123977661,42,42
122,6.510000228881836,6.429999828338623,42,42
123,6.419999837875366,6.2900002002716064,42,42
124,6.5299999713897705,6.325000047683716,42,42
125,6.504999876022339,6.355000019073486,42,42
126,6.400000095367432,6.360000133514404,42,42
127,6.525000095367432,6.3450000286102295,42,42
128,6.580000162124634,6.329999923706055,42,42
129,6.390000104904175,6.390000104904175,42,42
130,6.519999980926514,6.355000019073486,42,42
131,6.390000104904175,6.400000095367432,42,42
132,6.510000228881836,6.370000123977661,42,42
133,6.510000228881836,6.370000123977661,42,42
134,6.4750001430511475,6.349999904632568,42,42
135,6.454999923706055,6.414999961853027,42,42
136,6.6000001430511475,6.370000123977661,42,42
137,6.460000038146973,6.325000047683716,42,42
138,6.519999980926514,6.380000114440918,42,42
139,6.460000038146973,6.4599997997283936,42,42
140,6.539999961853027,6.515000104904175,42,42
141,6.545000076293945,6.4049999713897705,42,42
142,6.549999952316284,6.409999847412109,42,42
143,6.605000019073486,6.315000057220459,42,42
144,6.549999952316284,6.329999923706055,42,42
145,6.370000123977661,6.335000038146973,42,42
146,6.519999980926514,6.419999837875366,42,42
147,6.539999961853027,6.474999904632568,42,42
148,6.549999952316284,6.400000095367432,42,42
149,6.515000104904175,6.525000095367432,42,42
150,6.605000019073486,6.419999837875366,42,42
151,6.5299999713897705,6.450000047683716,42,42
152,6.559999942779541,6.419999837875366,42,42
153,6.539999961853027,6.444999933242798,42,42
154,6.519999980926514,6.380000114440918,42,42
155,6.5,6.424999952316284,42,42
156,6.510000228881836,6.325000047683716,42,42
157,6.5,6.434999942779541,42,42
158,6.549999952316284,6.444999933242798,42,42
159,6.515000104904175,6.329999923706055,42,42
160,6.509999990463257,6.380000114440918,42,42
161,6.484999895095825,6.414999961853027,42,42
162,6.539999961853027,6.380000114440918,42,42
163,6.380000114440918,6.349999904632568,42,42
164,6.570000171661377,6.370000123977661,42,42
165,6.495000123977661,6.329999923706055,42,42
166,6.565000057220459,6.349999904632568,42,42
167,6.515000104904175,6.320000171661377,42,42
168,6.5,6.370000123977661,42,42
169,6.559999942779541,6.355000019073486,42,42
170,6.519999980926514,6.360000133514404,42,42
171,6.480000019073486,6.3399999141693115,42,42
172,6.575000047683716,6.380000114440918,42,42
173,6.549999952316284,6.384999990463257,42,42
174,6.559999942779541,6.31000018119812,42,42
175,6.504999876022339,6.329999923706055,42,42
176,6.565000057220459,6.355000019073486,42,42
177,6.484999895095825,6.380000114440918,42,42
178,6.650000095367432,6.380000114440918,42,42
179,6.559999942779541,6.21999979019165,42,42
180,6.565000057220459,6.360000133514404,42,42
181,6.545000076293945,6.365000009536743,42,42
182,6.484999895095825,6.329999923706055,42,42
183,6.5299999713897705,6.360000133514404,42,42
184,6.699999809265137,6.355000019073486,42,42
185,6.5299999713897705,6.400000095367432,42,42
186,6.515000104904175,6.429999828338623,42,42
187,6.555000066757202,6.424999952316284,42,42
188,6.539999961853027,6.460000038146973,42,42
189,6.570000171661377,6.4100000858306885,42,42
190,6.580000162124634,6.394999980926514,42,42
191,6.605000019073486,6.305000066757202,42,42
192,6.605000019073486,6.380000114440918,42,42
193,6.455000162124634,6.380000114440918,42,42
194,6.4649999141693115,6.370000123977661,42,42
195,6.429999828338623,6.390000104904175,42,42
196,6.5299999713897705,6.360000133514404,42,42
197,6.519999980926514,6.355000019073486,42,42
198,6.545000076293945,6.390000104904175,42,42
199,6.440000057220459,6.3399999141693115,42,42
200,6.570000171661377,6.4700000286102295,42,42
201,6.510000228881836,6.390000104904175,42,42
202,6.549999952316284,6.3399999141693115,42,42
203,6.6600000858306885,6.3450000286102295,42,42
204,6.6000001430511475,6.31000018119812,42,42
205,6.549999952316284,6.444999933242798,42,42
206,6.575000047683716,6.424999952316284,42,42
207,6.400000095367432,6.329999923706055,42,42
208,6.515000104904175,6.329999923706055,42,42
209,6.515000104904175,6.360000133514404,42,42
210,6.440000057220459,6.325000047683716,42,42
211,6.580000162124634,6.400000095367432,42,42
212,6.565000057220459,6.300000190734863,42,42
213,6.474999904632568,6.390000104904175,42,42
214,6.565000057220459,6.365000009536743,42,42
215,6.444999933242798,6.370000123977661,42,42
216,6.450000047683716,6.2850000858306885,42,42
217,6.510000228881836,6.380000114440918,42,42
218,6.580000162124634,6.349999904632568,42,42
219,6.519999980926514,6.275000095367432,42,42
220,6.510000228881836,6.409999847412109,42,42
221,6.565000057220459,6.305000066757202,42,42
222,6.539999961853027,6.325000047683716,42,42
223,6.515000104904175,6.28000020980835,42,42
224,6.634999990463257,6.3450000286102295,42,42
225,6.549999952316284,6.275000095367432,42,42
226,6.515000104904175,6.409999847412109,42,42
227,6.5299999713897705,6.365000009536743,42,42
228,6.5299999713897705,6.2900002002716064,42,42
229,6.5299999713897705,6.419999837875366,42,42
230,6.605000019073486,6.449999809265137,42,42
231,6.5299999713897705,6.394999980926514,42,42
232,6.565000057220459,6.360000133514404,42,42
233,6.5299999713897705,6.480000019073486,42,42
234,6.550000190734863,6.424999952316284,42,42
235,6.5299999713897705,6.325000047683716,42,42
236,6.6600000858306885,6.510000228881836,42,42
237,6.644999980926514,6.5,42,42
238,6.605000019073486,6.5299999713897705,42,42
239,6.549999952316284,6.315000057220459,42,42
240,6.619999885559082,6.360000133514404,42,42
241,6.429999828338623,6.300000190734863,42,42
242,6.5,6.325000047683716,42,42
243,6.6000001430511475,6.4049999713897705,42,42
244,6.539999961853027,6.28000020980835,42,42
245,6.6600000858306885,6.28000020980835,42,42
246,6.570000171661377,6.329999923706055,42,42
