wire_number,baseline_json_B,reversed_json_B,reversed_shift_-1_json_B,baseline_mapped_wire,reversed_mapped_wire,reversed_shift_-1_mapped_wire,baseline_residual_B,reversed_residual_B,reversed_shift_-1_residual_B
374,6.06,6.4,6.19,374.0,108.0,107.0,-0.1170294811302588,-0.45702948113025954,-0.24702948113025958
375,5.99,6.19,6.28,375.0,107.0,106.0,-0.1894036101843417,-0.3894036101843419,-0.47940361018434174
376,6.21,6.28,6.21,376.0,106.0,105.0,-0.5482068482415619,-0.6182068482415621,-0.5482068482415619
377,5.86,6.21,5.79,377.0,105.0,104.0,-0.08566704874865749,-0.43566704874865714,-0.01566704874865721
378,6.03,5.79,6.27,378.0,104.0,103.0,-0.17393745853331843,0.06606254146668178,-0.41393745853331776
379,6.02,6.27,6.48,379.0,103.0,102.0,-0.3176987186135616,-0.5676987186135616,-0.7776987186135624
380,6.0,6.48,6.06,380.0,102.0,101.0,-0.2934847458996579,-0.7734847458996583,-0.3534847458996575
381,5.89,6.06,6.3,381.0,101.0,100.0,-0.6323027296405312,-0.8023027296405312,-1.0423027296405314
382,5.89,6.3,6.1,382.0,100.0,99.0,-0.3618290984854129,-0.771829098485413,-0.5718290984854129
383,5.74,6.1,6.02,383.0,99.0,98.0,-0.14685496741127313,-0.5068549674112726,-0.4268549674112725
384,5.68,6.02,6.38,384.0,98.0,97.0,0.24276325253364206,-0.0972367474663578,-0.4572367474663581
385,5.52,6.38,6.43,385.0,97.0,96.0,0.43007642101806365,-0.42992357898193667,-0.4799235789819365
386,5.89,6.43,6.36,386.0,96.0,95.0,0.2195903919172144,-0.3204096080827856,-0.25040960808278623
387,5.7,6.36,6.51,387.0,95.0,94.0,0.7682755923129685,0.10827559231296835,-0.04172440768703112
388,5.76,6.51,6.05,388.0,94.0,93.0,0.08433608941147508,-0.6656639105885249,-0.20566391058852496
389,5.41,6.05,6.08,389.0,93.0,92.0,0.27994733890335866,-0.360052661096641,-0.3900526610966413
390,5.79,6.08,6.43,390.0,92.0,91.0,0.30175374413664624,0.011753744136646205,-0.33824625586335344
391,5.79,6.43,6.27,391.0,91.0,90.0,0.04317504784864923,-0.5968249521513505,-0.4368249521513503
392,5.97,6.27,6.03,392.0,90.0,89.0,0.6454197124818499,0.3454197124818501,0.5854197124818494
393,6.05,6.03,6.32,393.0,89.0,88.0,-0.12566834565409657,-0.105668345654097,-0.39566834565409703
394,5.89,6.32,6.28,394.0,88.0,87.0,-0.0727682335724733,-0.5027682335724739,-0.4627682335724739
395,5.82,6.28,6.14,395.0,87.0,86.0,-0.12066325985814785,-0.5806632598581478,-0.44066325985814725
396,6.08,6.14,6.1,396.0,86.0,85.0,-0.3938519824509612,-0.4538519824509608,-0.4138519824509608
397,5.94,6.1,6.17,397.0,85.0,84.0,-0.25177661676135177,-0.411776616761351,-0.4817766167613513
398,6.24,6.17,6.13,398.0,84.0,83.0,-0.5406632598581478,-0.4706632598581475,-0.43066325985814746
399,6.19,6.13,6.21,399.0,83.0,82.0,-0.5197262003123715,-0.459726200312371,-0.5397262003123711
400,6.05,6.21,6.06,400.0,82.0,81.0,-0.4231432160407307,-0.5831432160407308,-0.43314321604073047
401,6.03,6.06,6.24,401.0,81.0,80.0,-0.16672812158711547,-0.19672812158711483,-0.37672812158711544
402,6.1,6.24,6.4,402.0,80.0,79.0,0.21156852203941678,0.07156852203941622,-0.08843147796058393
403,5.92,6.4,6.14,403.0,79.0,78.0,-0.2717430192033552,-0.7517430192033556,-0.49174301920335495
404,5.79,6.14,6.06,404.0,78.0,77.0,0.22010209879842435,-0.1298979012015753,-0.04989790120157522
405,5.88,6.06,6.43,405.0,77.0,76.0,0.04306293864515176,-0.13693706135484796,-0.5069370613548481
406,5.73,6.43,6.19,406.0,76.0,75.0,-0.023767276052617525,-0.7237672760526168,-0.4837672760526175
407,5.77,6.19,6.36,407.0,75.0,74.0,0.03535781345856481,-0.384642186541436,-0.5546421865414359
408,5.97,6.36,6.98,408.0,74.0,73.0,0.26246828758430585,-0.12753171241569472,-0.7475317124156948
409,5.91,6.98,6.13,409.0,73.0,72.0,-0.37424042040295724,-1.4442404204029575,-0.594240420402957
410,5.82,6.13,6.4,410.0,72.0,71.0,-0.04447635659731386,-0.35447635659731347,-0.6244763565973139
411,5.91,6.4,6.51,411.0,71.0,70.0,0.013040432310227779,-0.47695956768977243,-0.5869595676897719
412,5.92,6.51,6.32,412.0,70.0,69.0,-0.1588103003629664,-0.7488103003629663,-0.5588103003629667
413,5.94,6.32,6.44,413.0,69.0,68.0,0.20355029014195836,-0.17644970985804154,-0.29644970985804164
414,6.17,6.44,6.57,414.0,68.0,67.0,-0.23270331858976956,-0.50270331858977,-0.6327033185897699
415,5.89,6.57,6.06,415.0,67.0,66.0,-0.1688079878015909,-0.8488079878015915,-0.3388079878015908
416,6.03,6.06,6.52,416.0,66.0,65.0,0.07255095640485987,0.04255095640486051,-0.41744904359513946
417,6.0,6.52,6.69,417.0,65.0,64.0,0.036101712350258275,-0.4838982876497413,-0.6538982876497421
418,6.03,6.69,6.38,418.0,64.0,63.0,0.42213032643087445,-0.2378696735691257,0.0721303264308748
419,6.19,6.38,6.14,419.0,63.0,62.0,-0.3787266727479972,-0.5687266727479967,-0.3287266727479965
420,5.92,6.14,6.67,420.0,62.0,61.0,-0.1790044065719858,-0.39900440657198555,-0.9290044065719858
421,6.35,6.67,6.27,421.0,61.0,60.0,-0.15176105953967234,-0.4717610595396726,-0.07176105953967227
422,5.96,6.27,6.85,422.0,60.0,59.0,0.40800296789501544,0.09800296789501584,-0.48199703210498424
423,5.86,6.85,6.05,423.0,59.0,58.0,-0.27686375255608464,-1.266863752556084,-0.46686375255608414
424,6.43,6.05,6.75,424.0,58.0,57.0,-0.2610990500760506,0.11890094992394928,-0.5810990500760509
425,6.35,6.75,6.92,425.0,57.0,56.0,-0.07983382036799291,-0.47983382036799327,-0.6498338203679932
426,6.33,6.92,6.35,426.0,56.0,55.0,-0.2946073731882288,-0.8846073731882287,-0.3146073731882284
427,6.08,6.35,6.46,427.0,55.0,54.0,-0.12644207282321673,-0.3964420728232163,-0.5064420728232166
428,5.99,6.46,6.43,428.0,54.0,53.0,0.2562842187778065,-0.21371578122219326,-0.183715781222193
429,6.27,6.43,6.43,429.0,53.0,52.0,-0.023375174482030303,-0.18337517448203045,-0.18337517448203045
430,6.1,6.43,6.44,430.0,52.0,51.0,0.06449537808900985,-0.2655046219109902,-0.2755046219109909
431,6.02,6.44,6.95,431.0,51.0,50.0,-0.32066325985814714,-0.740663259858148,-1.2506632598581477
432,5.97,6.95,6.28,432.0,50.0,49.0,-0.25815489407381076,-1.2381548940738112,-0.5681548940738113
433,6.28,6.28,6.22,433.0,49.0,48.0,0.29842516905865235,0.29842516905865235,0.35842516905865285
434,6.24,6.22,6.24,434.0,48.0,47.0,0.04394694206059846,0.06394694206059892,0.04394694206059846
435,5.96,6.24,6.35,435.0,47.0,46.0,-0.2013346045630824,-0.48133460456308264,-0.5913346045630821
436,6.1,6.35,6.08,436.0,46.0,45.0,0.5299543158721658,0.2799543158721658,0.5499543158721654
437,6.06,6.08,6.69,437.0,45.0,44.0,0.055388072068010885,0.03538807206801042,-0.5746119279319899
438,6.19,6.69,6.06,438.0,44.0,43.0,-0.6145503536677577,-1.1145503536677577,-0.4845503536677569
439,6.11,6.06,6.35,439.0,43.0,42.0,0.32989041300014854,0.37989041300014925,0.08989041300014922
440,6.35,6.35,6.17,440.0,42.0,41.0,0.008739336667144215,0.008739336667144215,0.18873933666714393
441,6.38,6.17,6.64,441.0,41.0,40.0,-0.26282562118699015,-0.05282562118699019,-0.5228256211869899
442,5.85,6.64,6.0,442.0,40.0,39.0,0.2605540747075592,-0.5294459252924408,0.11055407470755885
443,6.05,6.0,6.38,443.0,39.0,38.0,-0.2521299087229041,-0.20212990872290426,-0.5821299087229042
444,6.17,6.38,6.56,444.0,38.0,37.0,-0.2734364271516698,-0.4834364271516698,-0.6634364271516695
445,6.3,6.56,6.27,445.0,37.0,36.0,-0.5628288964780532,-0.822828896478053,-0.532828896478053
446,6.67,6.27,6.62,446.0,36.0,35.0,-0.5432119224646081,-0.1432119224646078,-0.4932119224646083
447,6.43,6.62,6.11,447.0,35.0,34.0,-0.8889049696359885,-1.078904969635989,-0.5689049696359891
448,6.27,6.11,6.38,448.0,34.0,33.0,-0.4010378753296777,-0.24103787532967846,-0.511037875329678
449,6.21,6.38,6.03,449.0,33.0,32.0,-0.7171748680064258,-0.8871748680064258,-0.5371748680064261
450,6.24,6.03,5.94,450.0,32.0,31.0,-0.5408654388240128,-0.33086543882401287,-0.240865438824013
451,6.43,5.94,6.21,451.0,31.0,30.0,-0.8281574626075976,-0.33815746260759827,-0.6081574626075978
452,6.21,6.21,6.36,452.0,30.0,29.0,-0.20331598105961035,-0.20331598105961035,-0.3533159810596107
453,6.24,6.36,6.02,453.0,29.0,28.0,-0.8100581595717555,-0.9300581595717556,-0.5900581595717549
454,6.22,6.02,6.05,454.0,28.0,27.0,-0.045584127533791374,0.1544158724662088,0.12441587246620855
455,6.36,6.05,6.05,455.0,27.0,26.0,0.04810130990975647,0.35810130990975697,0.35810130990975697
456,6.22,6.05,6.59,456.0,26.0,25.0,0.2713575400810173,0.44135754008101724,-0.0986424599189828
457,6.4,6.59,6.27,457.0,25.0,24.0,-0.47742271487746457,-0.6674227148774641,-0.3474227148774638
458,6.3,6.27,6.48,458.0,24.0,23.0,-0.2966508032649795,-0.26665080326497925,-0.4766508032649801
459,6.19,6.48,6.7,459.0,23.0,22.0,0.17519185750992428,-0.11480814249007576,-0.3348081424900755
460,6.19,6.7,6.1,460.0,22.0,21.0,-0.585916643010024,-1.0959166430100238,-0.49591664301002325
461,6.85,6.1,6.4,461.0,21.0,20.0,-1.1252461943419965,-0.37524619434199646,-0.6752461943419972
462,6.49,6.4,6.08,462.0,20.0,19.0,-0.43399464223998585,-0.343994642239986,-0.02399464223998571
463,6.57,6.08,6.21,463.0,19.0,18.0,-0.5514183005883853,-0.061418300588385044,-0.19141830058838494
464,6.49,6.21,6.27,464.0,18.0,17.0,-0.1689905614946925,0.11100943850530776,0.05100943850530815
465,6.52,6.27,5.94,465.0,17.0,16.0,-1.0411419906314352,-0.7911419906314352,-0.461141990631436
466,6.21,5.94,6.43,466.0,16.0,15.0,0.25707492067480686,0.5270749206748064,0.03707492067480711
467,6.21,6.43,6.33,467.0,15.0,14.0,0.18392777820864215,-0.036072221791357606,0.06392777820864204
468,6.3,6.33,6.17,468.0,14.0,13.0,-0.5987935154936874,-0.6287935154936877,-0.46879351549368753
469,6.25,6.17,6.1,469.0,13.0,12.0,0.27613090350662706,0.35613090350662713,0.4261309035066274
470,6.27,6.1,6.7,470.0,12.0,11.0,-0.07483851921934814,0.09516148078065179,-0.5048385192193487
471,6.36,6.7,6.1,471.0,11.0,10.0,-0.17154206878617018,-0.51154206878617,0.0884579312138305
472,6.16,6.1,6.4,472.0,10.0,9.0,-0.4606632598581477,-0.4006632598581472,-0.7006632598581479
473,6.11,6.4,6.41,473.0,9.0,8.0,-0.23319290920079716,-0.5231929092007972,-0.533192909200797
474,6.61,6.41,6.27,474.0,8.0,7.0,-0.8912548411813122,-0.691254841181312,-0.5512548411813114
475,6.27,6.27,6.61,475.0,7.0,6.0,-0.32709711337831404,-0.32709711337831404,-0.6670971133783148
476,6.62,6.61,6.56,476.0,6.0,5.0,-0.7007459457634653,-0.6907459457634655,-0.6407459457634648
477,6.62,6.56,6.7,477.0,5.0,4.0,-0.5089983463935557,-0.4489983463935552,-0.5889983463935557
478,6.3,6.7,6.51,478.0,4.0,3.0,-0.3756399134937549,-0.7756399134937553,-0.5856399134937549
479,6.0,6.51,6.36,479.0,3.0,2.0,0.04584658738942338,-0.4641534126105764,-0.31415341261057694
480,6.25,6.36,6.54,480.0,2.0,1.0,-0.33290921596338663,-0.44290921596338695,-0.6229092159633867
481,5.96,6.54,,481.0,1.0,,0.20733797025981904,-0.37266202974018103,
