layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
U,B,26,5.300465682037234,True,377.70849921283013,1,0.7836558,0.021784036511127258,1108.0,271.3,X1108.0 Y271.3,"[5.278725833449934, 5.322293906472188]",1.163792371749878,2025-05-08_16-43-34
U,B,27,5.298199398087675,True,363.2279306712906,1,0.768361,0.042160487389814705,1108.0,277.0,X1108.0 Y277.0,"[5.2561649857860795, 5.340485960565709]",1.4068093299865723,2025-05-08_16-43-35
U,B,28,5.404954288230481,True,353.2609635940173,1,0.8812078,0.010666730447217443,1108.0,282.8,X1108.0 Y282.8,"[5.415636958794247, 5.394303497899812]",1.882796287536621,2025-05-08_16-43-37
U,B,29,5.340422899854534,True,338.7091086621601,1,0.8185504,0.07805611236454624,1108.0,288.5,X1108.0 Y288.5,"[5.262730136107588, 5.41884236083668]",1.3498690128326416,2025-05-08_16-43-38
U,B,30,5.4633103931072124,True,330.7500830711412,1,0.88805854,0.005984784946144295,1108.0,294.3,X1108.0 Y294.3,"[5.457333237941949, 5.469302807834238]",1.102440357208252,2025-05-08_16-43-39
U,B,31,4.397166810773032,True,286.9171324622339,1,0.9050009,0.024417326437702336,1108.0,300.1,X1108.0 Y300.1,"[4.421642475914434, 4.37280782303903]",1.1369876861572266,2025-05-08_16-43-41
U,B,32,5.156117909587125,True,300.650986817879,1,0.86583793,0.004338443577750262,1108.0,305.8,X1108.0 Y305.8,"[5.151784721403747, 5.160461608559247]",1.5017776489257812,2025-05-08_16-43-42
U,B,33,4.801508825480129,True,281.13348759011615,1,0.89957047,0.03952058230490563,1108.0,311.5,X1108.0 Y311.5,"[4.762109124733978, 4.84115028934379]",1.2383897304534912,2025-05-08_16-43-43
U,B,34,4.888496827413399,True,275.05419888478593,1,0.84288836,0.0002112224836876564,1108.0,317.3,X1108.0 Y317.3,"[4.888285818645255, 4.888708263612631]",1.1609094142913818,2025-05-08_16-43-44
U,B,35,4.921413215256576,True,267.9245032152245,1,0.8880569,0.058054781538817934,1108.0,323.1,X1108.0 Y323.1,"[4.863587753252329, 4.979697316329965]",1.2678544521331787,2025-05-08_16-43-46
U,B,36,5.157152457402941,True,266.412020319474,1,0.8798357,0.012347889128950573,1108.0,328.8,X1108.0 Y328.8,"[5.169520097965116, 5.144824319707215]",1.2652664184570312,2025-05-08_16-43-47
U,B,37,4.615451943276848,True,245.08443012144068,1,0.7376643,0.030935253405829144,1108.0,334.6,X1108.0 Y334.6,"[4.646469998699506, 4.584599491887848]",1.1276328563690186,2025-05-08_16-43-48
U,B,38,4.7481181920464435,True,241.84684593276933,1,0.81644154,0.01900977162078865,1108.0,340.4,X1108.0 Y340.4,"[4.767166019458564, 4.729146476216987]",1.4442405700683594,2025-05-08_16-43-50
