layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,B,68,5.5653043924430685,True,75.15610563447784,5,0.55769676,0.05012259042427405,6310.0,521.0,X6310.0 Y521.0,"[5.625447008118548, 5.564565731723192, 5.502673624065826]",9.91901159286499,2025-04-18_10-54-38
X,B,69,5.276810191453301,True,73.18221381691369,5,0.76183385,0.05400772216467969,6310.0,523.5,X6310.0 Y523.5,"[5.231970358421426, 5.285345284948461, 5.363486687719318]",5.509504079818726,2025-04-18_10-54-44
X,B,70,5.939631275918462,True,77.64250691699492,5,0.7322819,0.06473336710186497,6310.0,529.0,X6310.0 Y529.0,"[5.810958758869735, 5.9444354041863265, 5.951824192221915]",2.6487135887145996,2025-04-18_10-54-46
X,B,71,6.045423696487013,True,78.33091122222247,5,0.8119621,0.07896237028915264,6310.0,533.8,X6310.0 Y533.8,"[6.1311451771662915, 5.937824655064097, 6.0397890134151035]",3.6994283199310303,2025-04-18_10-54-50
X,B,72,6.007637582186033,True,78.08572904679208,5,0.7248258,0.04186316055189689,6310.0,538.7,X6310.0 Y538.7,"[5.98679428303623, 6.085799129333425, 6.0131690331820336]",9.684906721115112,2025-04-18_10-55-00
X,B,73,6.167201187286825,True,79.11591675768899,5,0.737551,0.08519649516140988,6310.0,543.4,X6310.0 Y543.4,"[5.998293346229605, 6.1714897730556, 6.185714378716845]",2.8590729236602783,2025-04-18_10-55-03
X,B,74,5.913819558050541,True,77.4736186130162,5,0.7306318,0.06351538206945721,6310.0,548.2,X6310.0 Y548.2,"[5.910770398283487, 5.830304744890131, 5.985853987961132]",3.939899206161499,2025-04-18_10-55-06
X,B,75,6.002140074393193,True,78.04999327300413,5,0.71047735,0.029681258158393894,6310.0,553.0,X6310.0 Y553.0,"[6.0513958297885155, 5.979314058633755, 6.007135419481075]",2.7143361568450928,2025-04-18_10-55-09
X,B,76,5.983693408691254,True,77.92996358011028,5,0.71816516,0.0418388297656904,6310.0,558.0,X6310.0 Y558.0,"[6.0643789483990895, 5.967563229510007, 5.986863839432763]",3.905130624771118,2025-04-18_10-55-13
X,B,77,6.185243206054451,True,79.23155822702954,5,0.7589641,0.09261270000638248,6310.0,562.6,X6310.0 Y562.6,"[6.033317549298201, 6.258501868852479, 6.169700917142241]",2.634918451309204,2025-04-18_10-55-16
X,B,78,6.024889170031095,True,78.19776452608885,5,0.5638132,0.019849172621857147,6310.0,567.6,X6310.0 Y567.6,"[6.06057230673617, 6.028082235574886, 6.013002362553486]",5.278313875198364,2025-04-18_10-55-21
X,B,79,5.962244011545806,True,77.79016268352245,5,0.6946724,0.036322027314138416,6310.0,572.1,X6310.0 Y572.1,"[5.892387654197548, 5.959312718604117, 5.976620062533959]",2.6822633743286133,2025-04-18_10-55-24
