layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,f_sigma,time
V,B,430,5.697096801862445,True,1,83.50579928955541,0.8299526,1365.3,273.9,X1365.3 Y273.9,0.08627221311043248,2025-01-22_14-55-52
V,B,429,5.841841775776283,True,1,83.85106717265451,0.77662635,1357.3,273.8,X1357.3 Y273.8,0.11553920017953838,2025-01-22_14-55-54
V,B,428,5.795123917309454,True,1,82.8137795895326,0.8781557,1349.3,273.4,X1349.3 Y273.4,0.038637073626783515,2025-01-22_14-55-58
V,B,427,5.846724339753933,True,1,82.4958794672909,0.9153856,1341.3,273.5,X1341.3 Y273.5,0.6585213741835134,2025-01-22_14-56-00
V,B,426,4.782970879494276,True,1,73.99848108606164,0.8241116,1333.3,273.7,X1333.3 Y273.7,0.6129713182424733,2025-01-22_14-56-03
V,B,425,5.918331612457383,True,1,81.64641903449095,0.83495986,1325.3,273.7,X1325.3 Y273.7,0.0731861940071024,2025-01-22_14-56-06
V,B,424,5.863053617003605,True,1,80.60387095366572,0.8186357,1317.3,273.7,X1317.3 Y273.7,0.5305746325832499,2025-01-22_14-56-08
V,B,423,6.006842048700664,True,1,80.93522625170418,0.7921204,1309.3,273.7,X1309.3 Y273.7,0.12113982855871767,2025-01-22_14-56-10
V,B,422,5.845464798375114,True,1,79.20217178386848,0.7492042,1301.3,273.7,X1301.3 Y273.7,0.6675216716486385,2025-01-22_14-56-12
V,B,421,5.806983906505807,True,1,78.3210570590824,0.84706014,1293.3,273.7,X1293.3 Y273.7,0.08634919242578358,2025-01-22_14-56-14
V,B,420,5.839737774283635,True,1,77.92338723092496,0.749363,1285.3,273.7,X1285.3 Y273.7,0.22052654583428588,2025-01-22_14-56-17
V,B,419,5.900611911627181,True,1,77.72285911421704,0.7994812,1277.3,273.7,X1277.3 Y273.7,0.12981915198409455,2025-01-22_14-56-19
V,B,418,5.862138550142772,True,1,76.86866486798512,0.8024171,1269.3,273.7,X1269.3 Y273.7,1.0455293101034204,2025-01-22_14-56-21
V,B,417,5.960790736560462,True,1,76.92262868443007,0.78076446,1261.3,273.7,X1261.3 Y273.7,0.3023507072184823,2025-01-22_14-56-23
V,B,416,5.82826990201984,True,1,75.48220505920504,0.8010696,1253.3,273.7,X1253.3 Y273.7,0.1251565601548171,2025-01-22_14-56-24
V,B,415,5.8276824610483455,True,1,74.91241403692987,0.79898334,1245.3,273.7,X1245.3 Y273.7,0.2224462139105818,2025-01-22_14-56-27
V,B,414,5.818386343493619,True,1,74.28988226978703,0.8538252,1237.3,273.7,X1237.3 Y273.7,0.4361533329223418,2025-01-22_14-56-29
V,B,413,5.766376387345505,True,1,73.41075838971474,0.7553791,1229.3,273.7,X1229.3 Y273.7,0.8657282770446861,2025-01-22_14-56-31
V,B,412,5.652167895972495,True,1,72.14176679591144,0.8156097,1221.3,273.7,X1221.3 Y273.7,0.22573287268983735,2025-01-22_14-56-34
V,B,411,5.867369166508862,True,1,72.96726560758387,0.8810768,1213.3,273.7,X1213.3 Y273.7,0.05114126922468949,2025-01-22_14-56-36
V,B,410,5.799434383287152,True,1,72.0140589441929,0.8137317,1205.3,273.7,X1205.3 Y273.7,0.09438769555693743,2025-01-22_14-56-39
V,B,409,5.848573214722348,True,1,71.79441886706225,0.7651837,1197.3,273.7,X1197.3 Y273.7,0.08739560371841261,2025-01-22_14-56-41
V,B,408,5.92408528266925,True,1,71.74175403996769,0.7970123,1189.3,273.7,X1189.3 Y273.7,0.07631300727816703,2025-01-22_14-56-43
V,B,407,5.706413173224423,True,1,69.90838352496041,0.74753153,1181.3,273.7,X1181.3 Y273.7,0.4402786302874048,2025-01-22_14-56-47
V,B,406,5.669609855685939,True,1,69.19326706173145,0.8068654,1173.3,273.7,X1173.3 Y273.7,0.3387144514162452,2025-01-22_14-56-50
V,B,405,5.81320271360992,True,1,69.57049513038336,0.84815246,1165.3,273.7,X1165.3 Y273.7,0.3438952446349161,2025-01-22_14-56-52
V,B,404,5.736713717598967,True,1,68.63273289939502,0.75810957,1157.3,273.7,X1157.3 Y273.7,0.18304007217542495,2025-01-22_14-56-55
V,B,403,5.752082339552884,True,1,68.24721660432395,0.7184136,1149.3,273.7,X1149.3 Y273.7,0.09687183023020425,2025-01-22_14-56-59
V,B,402,5.74052057524727,True,1,67.86905846534434,0.7081912,1141.3,273.7,X1141.3 Y273.7,0.13041303917205233,2025-01-22_14-57-03
V,B,401,5.644051564993293,True,1,66.55261467304229,0.77905107,1133.3,273.7,X1133.3 Y273.7,0.39951438452883997,2025-01-22_14-57-05
V,B,400,5.876072753211641,True,1,67.9067925860709,0.73686004,1133.3,279.5,X1133.3 Y279.5,0.604673891344805,2025-01-22_14-57-08
V,B,399,5.688950235678908,True,1,66.8168047457263,0.75877357,1133.3,285.3,X1133.3 Y285.3,0.49025567617907856,2025-01-22_14-57-10
V,B,398,5.601166021970442,True,1,66.29928713079983,0.7745795,1133.3,291.0,X1133.3 Y291.0,0.2691221287003514,2025-01-22_14-57-15
V,B,397,5.578487301931578,True,1,66.16493046027315,0.7451367,1133.3,296.8,X1133.3 Y296.8,0.018499179753185244,2025-01-22_14-57-20
