,1,2,3,4,5
673,,238.9,1458.1,1458.1,798.9
674,,229,1458.1,1458.1,808.8
675,,219.2,1458.1,1458.1,818.6
676,,209.3,1458.1,1458.1,828.5
677,,199.5,1458.1,1458.1,838.3
678,,189.6,1458.1,1458.1,848.2
679,,179.8,1458.1,1458.1,858
680,,169.9,1458.1,1458.1,867.9
681,,160.1,1458.1,1458.1,877.7
682,,150.2,1458.1,1458.1,887.6
683,,140.4,1458.1,1458.1,897.4
684,,130.5,1458.1,1458.1,907.3
685,,120.7,1458.1,1458.1,917.1
686,,110.8,1458.1,1458.1,927
687,,100.9,1458.1,1458.1,936.8
688,,91.1,1458.1,1458.1,946.7
689,,81.2,1458.1,1458.1,956.6
690,,71.4,1458.1,1458.1,966.4
691,,61.5,1458.1,1458.1,976.3
692,,51.7,1458.1,1458.1,986.1
693,,41.9,1458.1,1458.1,996
694,,32,1458.1,1458.1,1005.8
695,,22.2,1458.1,1458.1,1015.7
696,,,1458.1,1458.1,1025.5
697,,,1458.1,1458.1,1035.4
698,,,1450.7,1458.1,1045.2
699,,,1440.8,1458.1,1055.1
700,,,1431,1458.1,1064.9
701,,,1421.1,1458.1,1074.8
702,,,1411.3,1458.1,1084.6
703,,,1401.4,1458.1,1094.5
704,,,1391.6,1458.1,1104.3
705,,,1381.7,1458.1,1114.2
706,,,1371.8,1458.1,1124
707,,,1362,1458.1,1133.9
708,,,1352.1,1458.1,1143.7
709,,,1342.3,1458.1,1153.6
710,,,1332.4,1458.1,1163.4
711,,,1322.6,1458.1,1173.3
712,,,1312.7,1458.1,1183.1
713,,,1302.9,1458.1,1193
714,,,1293,1458.1,1202.9
715,,,1283.2,1458.1,1212.7
716,,,1273.3,1458.1,1222.6
717,,,1263.5,1458.1,1232.4
718,,,1253.6,1458.1,1242.3
719,,,1243.8,1458.1,1252.1
720,,,1233.9,1458.1,1262
721,,,1224.1,1458.1,1271.8
722,,,1214.2,1458.1,1281.7
723,,,1204.4,1458.1,1291.5
724,,,1194.5,1458.1,1301.4
725,,,1184.7,1458.1,1311.2
726,,,1174.8,1458.1,1321.1
727,,,1165,1458.1,1330.9
