layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,t_sigma,wires,ttf,time
V,A,737,5.923630001479856,True,5,69.24771030730876,0.7972426,6847.9,223.8,X6847.9 Y223.8,0.04109313462072951,"[5.9138528504267045, 5.87794157071656, 5.935674604867329, 5.842803899867952, 5.958157924148727]",4.839782238006592,2025-01-29_13-58-46
V,A,736,6.116191493428251,True,5,70.85136042385919,0.77504396,6839.9,223.9,X6839.9 Y223.9,0.1170602776206074,"[6.124650109420885, 5.920958631371982, 6.092080361703556, 6.207622290174792, 5.909711964333387]",14.357099056243896,2025-01-29_13-59-00
V,A,735,6.213217524145226,True,5,71.91406607375579,0.7277018,6831.9,224.4,X6831.9 Y224.4,0.08209921568156543,"[6.342087111675534, 6.207514357208247, 6.209756636250598, 6.19829923302346, 6.395827520199313]",95.2470953464508,2025-01-29_14-00-36
V,A,734,6.169541072024273,True,5,72.16395599251732,0.75119144,6823.9,224.6,X6823.9 Y224.6,0.5221143216074814,"[4.953847839302165, 6.180470705238246, 5.705115596673009, 6.288596666306473, 6.347527956143847]",81.19731712341309,2025-01-29_14-01-57
V,A,733,6.209780932419764,True,5,72.91604760911481,0.8112132,6815.9,224.6,X6815.9 Y224.6,0.02732595968971676,"[6.2147068563226515, 6.2469314609210915, 6.265968472192423, 6.191380925878395, 6.206614752791634]",4.155880928039551,2025-01-29_14-02-01
V,A,732,6.254993824918602,True,5,73.70214023228256,0.8697565,6807.9,224.6,X6807.9 Y224.6,0.022974235515220515,"[6.305420433841422, 6.247049069958378, 6.273839450270157, 6.240789338025657, 6.26051612577136]",3.2823989391326904,2025-01-29_14-02-04
V,A,731,6.248342153682239,True,5,74.19669209222555,0.77983296,6799.9,224.5,X6799.9 Y224.5,0.07002148520765433,"[6.196639992997302, 6.272792641890754, 6.229562878897914, 6.098946841504839, 6.3002348904194845]",13.112778186798096,2025-01-29_14-02-17
V,A,730,6.199900732316818,True,5,74.44247097343282,0.7602676,6791.9,224.4,X6791.9 Y224.4,0.05307877927357176,"[6.118569651942355, 6.244803203693617, 6.2140026011591445, 6.181982167578619, 6.108132682459364]",8.259003400802612,2025-01-29_14-02-26
V,A,729,5.957396356748025,True,5,73.5085486219585,0.8176977,6783.9,224.4,X6783.9 Y224.4,0.10836264861585274,"[5.927703170159995, 5.926914680071229, 6.147692527646555, 6.178815656121539, 5.988739920570191]",7.188641786575317,2025-01-29_14-02-33
V,A,728,6.054365685983036,True,5,74.64764274819612,0.7341333,6775.9,224.4,X6775.9 Y224.4,0.19524465161071652,"[6.113655085966689, 6.482279159574716, 5.954068155516775, 5.958727840033415, 6.213642034964079]",18.207871437072754,2025-01-29_14-02-51
V,A,727,5.827149359979325,True,5,73.77990492605825,0.7452458,6768.0,224.3,X6768.0 Y224.3,0.10931887910946098,"[5.749731561979428, 6.055986020862644, 5.874885811513254, 5.893131107906188, 5.7692593054043675]",12.998093605041504,2025-01-29_14-04-29
V,A,726,5.884387095927142,True,5,74.69303007330763,0.8057746,6760.0,224.3,X6760.0 Y224.3,0.09091380062784923,"[6.049595885509268, 5.811236808392078, 5.9362839443285536, 5.803736333260293, 5.924853817063168]",9.69134521484375,2025-01-29_14-04-39
V,A,725,6.273039663642681,True,5,77.70432424237227,0.76365584,6752.0,224.1,X6752.0 Y224.1,0.16442885044999966,"[6.335263203671089, 6.24304241843798, 6.137036785415292, 5.899925499781812, 6.346033861799319]",20.31508755683899,2025-01-29_14-04-59
V,A,724,6.183259309571425,True,5,77.72899397572523,0.7205332,6744.0,224.0,X6744.0 Y224.0,0.27067853803581254,"[6.166125940557212, 6.630772131356019, 6.223278705546184, 6.0754574561286505, 6.755337979965395]",37.647096157073975,2025-01-29_14-05-37
V,A,723,6.183624541290303,True,5,78.32899037319135,0.7493954,6736.0,224.0,X6736.0 Y224.0,0.1450374763965293,"[6.174794724978588, 6.033700652171382, 6.20369948324097, 6.317143524309766, 5.898608180138853]",9.405015230178833,2025-01-29_14-05-46
V,A,722,6.536365697474989,True,5,81.14980613714911,0.8181859,6728.0,224.0,X6728.0 Y224.0,0.013955363879920408,"[6.5224665646938735, 6.54042518944757, 6.548509285804988, 6.5257702357014, 6.559825941820903]",1.9650979042053223,2025-01-29_14-05-48
V,A,721,6.463081295227186,True,5,81.3237267168093,0.85294944,6720.0,223.0,X6720.0 Y223.0,0.012505592018361203,"[6.456837996106716, 6.459203652582812, 6.440608712155412, 6.469821114238761, 6.4773722550018755]",3.655571222305298,2025-01-29_14-11-27
V,A,720,6.384549342828795,True,5,81.46427880781056,0.7033215,6712.0,223.0,X6712.0 Y223.0,0.03241295179178172,"[6.417035878123049, 6.352209974539486]",6.669979095458984,2025-01-29_14-11-34
V,A,719,6.382080867863831,True,5,82.08805746207618,0.79435,6704.0,223.0,X6704.0 Y223.0,0.055327546956371265,"[6.487026007819212, 6.3892586963539895, 6.367800031302083, 6.437677656480764, 6.328031088043835]",7.458035469055176,2025-01-29_14-11-41
V,A,718,6.301129202869962,True,5,82.21794225399604,0.7626327,6696.0,223.0,X6696.0 Y223.0,0.03760567142999402,"[6.3059639759018085, 6.246219757080518, 6.236732864697015, 6.2959583776582475, 6.336768598780348]",4.902515888214111,2025-01-29_14-11-46
V,A,717,6.311675009850273,True,5,82.94318668835369,0.8809448,6688.0,223.0,X6688.0 Y223.0,0.025024004571507445,"[6.326706309361544, 6.260689131662835, 6.303167210345243, 6.275715108339772, 6.317954636607305]",3.93496036529541,2025-01-29_14-11-50
V,A,716,6.299570686101636,True,5,83.53686128180732,0.81956583,6680.0,223.0,X6680.0 Y223.0,0.019064158075981018,"[6.286348014184315, 6.327195917022729, 6.308505356473783, 6.300870269365385, 6.271279851841484]",4.610886096954346,2025-01-29_14-11-55
V,A,715,6.555178854937943,True,5,85.90569606165852,0.7232653,6672.0,223.0,X6672.0 Y223.0,0.028935496523992067,"[6.609989826150379, 6.542088007072193, 6.558440890008573]",4.502298831939697,2025-01-29_14-11-59
V,A,714,6.537597057145559,True,5,86.49889326984774,0.7333764,6664.0,223.0,X6664.0 Y223.0,0.05860752095887025,"[6.484556551904313, 6.61106192616373, 6.548061361856183, 6.545423849642526, 6.440225777806534]",3.792759418487549,2025-01-29_14-12-03
