layer,side,wire_number,tension
U,A,109,5.8875337535522
U,A,110,5.527659522940968
U,A,111,5.8740130730120255
U,A,112,5.522265281691935
U,A,113,5.308433783700275
U,A,114,5.732799408703158
U,A,115,5.360103616710612
U,A,116,5.332059795776452
U,A,117,5.841775247766083
U,A,118,5.449661527893564
U,A,119,5.655596729717075
U,A,120,5.621842076830144
U,A,121,5.986551424356585
U,A,122,5.581665266284579
U,A,123,5.4611300089953305
U,A,124,5.749486025866228
U,A,125,5.540225211702697
U,A,126,5.610392729106899
U,A,127,5.626992743905232
U,A,128,5.99212996075322
U,A,129,6.153322734179906
U,A,130,5.859579090059239
U,A,131,5.726412025343746
U,A,132,5.747318408583247
U,A,133,6.085535026422319
U,A,134,5.753203079884821
U,A,135,5.875786384478883
U,A,136,5.693450008090825
U,A,137,5.887193298365673
U,A,138,6.0935563358621145
U,A,139,6.053723449255342
U,A,140,5.731368949811003
U,A,141,6.1724867746820005
U,A,142,5.705626227792984
U,A,143,6.215302479440751
U,A,144,5.829380486781532
U,A,145,5.760255563835059
U,A,146,5.990840449373749
U,A,147,5.89375327160684
U,A,148,6.154713835926692
U,A,149,5.959407892232032
U,A,150,6.030239261947662
U,A,151,5.649045966947616
U,A,152,5.529304655420122
U,A,153,5.510213223532255
U,A,154,5.619978520288848
U,A,155,6.128953126076506
U,A,156,5.997402202013345
U,A,157,5.912364254189073
U,A,158,5.643563992795372
U,A,159,5.887417453475301
U,A,160,5.943284328237847
U,A,161,5.710223493165799
U,A,162,5.663674632674233
U,A,163,5.669428889102668
U,A,164,5.447465300341895
U,A,165,5.545631925211954
U,A,166,5.516333607215279
U,A,167,5.736165446343804
U,A,168,5.532689166784908
U,A,169,5.785342366200922
U,A,170,5.684088589443449
U,A,171,5.649916003294501
U,A,172,5.615571166292237
U,A,173,5.497062054985556
U,A,174,5.572720139964781
U,A,175,5.912588193004551
U,A,176,5.490909053788038
U,A,177,5.742034852686992
U,A,178,5.600149614670753
U,A,179,5.5908050564679685
U,A,180,5.643665848459074
U,A,181,5.6163758284813605
U,A,182,5.850468593454044
U,A,183,5.662674274224217
U,A,184,5.493031717080704
U,A,185,5.629677631184646
U,A,186,5.983332427020887
U,A,187,5.572016631998539
U,A,188,5.529970043788024
U,A,189,5.927944661437483
U,A,190,5.625107094390182
U,A,191,5.879336096876295
U,A,192,5.774430894369283
U,A,193,5.945054437052858
U,A,194,5.962347797365473
U,A,195,5.994129353967498
U,A,196,5.937460326120469
U,A,197,5.877933900070192
U,A,198,5.6179185005742704
U,A,199,5.793487981788861
U,A,200,5.949668876844801
U,A,201,5.878340058233047
U,A,202,6.107759026632842
U,A,203,5.715524996533155
U,A,204,6.015409156075827
U,A,205,5.886365580510756
U,A,206,5.982729448154893
U,A,207,5.663934467489248
U,A,208,6.077849923348355
U,A,209,6.067152118530927
U,A,210,6.333968084921875
U,A,211,5.7055498875281625
U,A,212,6.1499051323883664
U,A,213,6.065037059246498
U,A,214,6.370179610825466
U,A,215,6.565476457137735
U,A,216,6.886174271437439
U,A,217,6.966238544684267
U,A,218,7.0876843028753935
U,A,219,5.5696454595293785
U,A,220,6.906085689899292
U,A,221,7.044330639868087
U,A,222,7.270309930372194
U,A,223,7.783818205629895
U,A,224,6.080807230720832
U,A,225,7.484239810981021
