wire_number,mu_A,mu_B,n_A,n_B
390,6.003351902099235,5.797887179269564,6,5
391,6.085987537580786,5.675152935143583,6,5
392,5.924213297341361,5.577589624234925,6,5
393,6.030282046724171,5.5742555746257025,6,5
394,5.981417423815171,5.506523912271323,6,5
395,6.006296491980633,5.546300064079802,6,5
396,6.021804467046994,5.5601809955072525,6,5
397,5.913561396927924,5.616663367364552,6,5
398,5.8033716932633785,5.574637182306483,6,5
399,5.777399486498934,5.671548990149827,6,5
400,5.5998215389403825,5.654125721047975,6,5
401,5.787342571528544,5.6208602194694235,6,5
402,5.761484063329705,5.609472418090138,6,5
403,5.893804669040159,5.5391275538281715,6,5
404,5.812943699780458,5.620835793659039,6,5
405,5.613718035997035,5.785669603161393,6,5
406,5.785591124042265,5.838299137903755,6,5
407,5.712014950103107,5.6208360941174,6,5
408,5.752047310390022,5.896026998375747,6,5
409,5.743832015381289,5.820872578735537,6,5
410,5.736770707060932,5.743899036852397,6,5
411,5.848680258357504,5.567368330177144,6,5
412,5.8414123011474395,5.761739217051385,6,5
413,5.636291616452047,5.804513024154386,6,5
414,5.765353970077452,5.7908286817846,6,5
415,5.732675979475664,5.8000807700762875,6,5
416,5.687203413162937,5.800665428747225,6,5
417,5.831618685165174,5.932558603983003,6,5
418,5.80807246915475,5.834373664568117,6,5
419,5.895084281038418,5.810023742032221,6,5
420,5.772080739520501,5.742609831495005,6,5
421,5.6931556734986355,5.779480250234485,6,5
422,5.768490794596329,5.6613700455167555,6,5
423,5.740148970689908,5.978391802989031,6,5
424,5.78449375947417,5.742735269124964,6,5
425,5.794819525228832,5.890300579310147,6,5
426,5.726885553964645,5.7954990987285635,6,5
427,5.731505815058581,6.003672777892515,6,5
428,5.68391020523168,6.379582740352552,6,5
429,5.763656921646754,5.8141730219482595,6,5
430,5.773460725921954,5.6889242826331,6,5
431,5.701488823831882,5.771813691701414,6,5
432,5.734845734483198,5.867085889102287,6,5
433,5.703209645932489,5.9032020742589255,6,5
434,5.930839651635997,5.909220736337937,6,5
435,5.789793381674059,5.607633523366287,6,5
436,5.477175043509671,5.614405896647797,6,5
437,5.684652302121821,5.993672522062277,6,5
438,5.844422541409138,5.830198241609136,6,5
439,5.857000781470145,5.5548916754280935,6,5
440,5.904619382497576,5.390820172583311,6,5
441,5.920187055115449,5.488954707645132,6,5
442,5.86819890817625,6.1603100629462615,6,5
443,5.858147486681589,5.932663914108427,6,5
444,5.828084151232331,5.767849022046491,6,5
445,5.866895341466223,5.690108623043097,6,5
446,5.745651287960056,5.653804643072138,6,5
447,5.57118533511274,5.742123268684699,6,5
448,5.745388455008815,6.092915810635833,6,5
449,5.78575873906262,5.840183493533358,6,5
450,5.713666134289724,5.943376978296821,6,5
451,5.904123066569664,5.818790396079977,6,5
452,5.8824336881652055,5.991600549849147,6,5
453,5.694332333664629,6.013922075964369,6,5
454,5.74382220635026,5.9356556562582705,6,5
455,5.754800173061467,5.842617695022319,6,5
456,5.7123353091025475,5.5615027833263415,6,5
457,5.799959634088042,5.59922721291155,6,5
458,5.702031250498676,5.743542100792409,6,5
459,5.867606799862674,5.608180300327244,6,5
460,5.645937908847616,5.971967903490428,6,5
461,5.857535735319391,5.851451208558653,6,5
462,5.882017234184079,5.610860041796262,6,5
463,5.902989154619872,5.62057957727296,6,5
464,5.880209828399589,5.709669963941601,6,5
465,5.80942858446109,5.687485975621015,6,5
466,5.838057245946669,5.820348589571496,6,5
467,5.8864670748682055,5.613744591005288,6,5
