wire_number,json_A,json_B,summary_A,summary_B,diff_A,diff_B
351,5.6,5.8,,6.167269614215384,,0.3672696142153846
352,5.44,5.73,,4.792443964478039,,-0.9375560355219612
353,5.62,5.92,,5.265990308580786,,-0.6540096914192137
354,5.48,5.94,,5.091766838340142,,-0.8482331616598584
355,5.79,5.9,,4.978191346211327,,-0.9218086537886734
356,5.6,5.97,,4.648476130087887,,-1.321523869912113
357,5.58,5.95,,4.860061884634044,,-1.089938115365956
358,5.72,5.87,,4.619361171090944,,-1.2506388289090564
359,5.7,5.85,,5.318067193910045,,-0.5319328060899551
360,5.48,5.82,,5.152733553878666,,-0.6672664461213342
361,5.6,5.82,,5.188034955211268,,-0.6319650447887319
362,5.74,5.42,,5.067989251085538,,-0.35201074891446194
363,5.8,5.72,,5.213580734692539,,-0.5064192653074606
364,5.77,5.38,,5.194685990399554,,-0.18531400960044575
365,5.75,5.73,,4.571624394909298,,-1.1583756050907024
366,5.79,5.77,,5.26781801132636,,-0.5021819886736392
367,5.69,5.68,,5.339234747468224,,-0.34076525253177614
368,5.72,5.53,,5.1586939454544485,,-0.37130605454555177
369,5.5,5.89,,4.758766251603399,,-1.1312337483966006
370,5.7,5.72,,5.24121839190228,,-0.4787816080977194
371,5.6,5.85,,4.944815335286702,,-0.905184664713298
372,5.64,5.63,,5.16020810491273,,-0.46979189508726993
373,5.74,5.75,,5.27284709722699,,-0.47715290277301037
374,5.74,5.7,,4.998260836465744,,-0.7017391635342562
375,5.72,5.7,,5.292080256988127,,-0.40791974301187306
376,5.65,5.53,,5.218165010717908,,-0.31183498928209197
377,5.67,5.55,,5.118936444472475,,-0.4310635555275244
378,5.64,5.55,,5.265938980315096,,-0.2840610196849038
379,5.75,5.55,,5.192023429090132,,-0.3579765709098677
380,5.62,6.09,,5.0682820555029,,-1.0217179444970999
381,5.7,5.77,,5.111845850167528,,-0.6581541498324714
382,5.72,5.63,,4.986534698728264,,-0.6434653012717355
383,5.7,5.77,,5.121120260064887,,-0.6488797399351123
384,5.62,5.5,,5.105168213825869,,-0.39483178617413106
385,5.79,5.57,,5.166526189355658,,-0.40347381064434185
386,5.64,5.75,,5.216026818677747,,-0.5339731813222528
387,5.79,5.73,,5.096728649640987,,-0.6332713503590135
388,5.67,5.47,,5.301865746258967,,-0.16813425374103286
389,5.55,5.83,,5.233885007391295,,-0.5961149926087055
390,5.65,5.75,,5.215515988088937,,-0.5344840119110632
391,5.72,5.57,,5.137543452569894,,-0.43245654743010586
392,5.67,5.6,,4.960455395853479,,-0.6395446041465203
393,5.14,5.57,,5.343857328841146,,-0.2261426711588541
394,5.77,5.57,,5.228009494599791,,-0.3419905054002097
395,6.03,5.65,,5.133528412951102,,-0.5164715870488985
396,6.02,5.94,,5.523921650414293,,-0.41607834958570766
397,6.0,5.39,,5.322892119515784,,-0.06710788048421534
398,5.96,5.91,,5.191756644216911,,-0.7182433557830894
399,6.16,5.61,,5.203157736143966,,-0.40684226385603406
400,6.07,5.73,5.766694431275693,4.979195063415686,-0.3033055687243076,-0.7508049365843146
401,6.03,5.94,,5.281148145387773,,-0.6588518546122275
402,6.03,5.89,,5.244350104635245,,-0.6456498953647545
403,6.05,5.82,,5.401015443073927,,-0.4189845569260733
404,6.03,5.58,,4.902300259068371,,-0.6776997409316294
405,6.18,5.82,,5.327765762245171,,-0.492234237754829
406,6.14,5.82,,5.138484861006575,,-0.6815151389934249
407,6.07,5.84,,5.167614000091411,,-0.672385999908589
408,6.14,5.79,,5.339318973774212,,-0.4506810262257881
409,6.18,5.85,,5.348071919172962,,-0.5019280808270379
410,5.91,5.87,,5.341217432260489,,-0.528782567739511
411,6.07,5.94,,5.314909724562157,,-0.6250902754378433
412,6.03,5.91,,5.343165377983153,,-0.566834622016847
413,6.16,5.73,,5.325222880121638,,-0.4047771198783625
414,6.09,5.48,,5.226450066521264,,-0.25354993347873656
415,6.16,5.79,,5.320473332182312,,-0.46952666781768837
416,6.25,5.75,,5.244209717113235,,-0.5057902828867649
417,6.23,5.75,,5.305304919552279,,-0.44469508044772077
418,6.3,5.77,,5.521479018914228,,-0.2485209810857718
419,6.19,5.8,,5.432522732877219,,-0.36747726712278084
420,6.21,5.77,,5.323237432384946,,-0.4467625676150533
421,7.18,5.8,,4.9830050568538375,,-0.8169949431461623
422,5.31,5.85,,5.619282240538925,,-0.23071775946107476
423,6.69,5.79,,5.335661484309193,,-0.4543385156908073
424,6.67,5.41,,5.314334871889605,,-0.09566512811039551
425,6.84,5.7,,5.32774855273233,,-0.37225144726767034
426,6.54,5.89,,5.388952029417204,,-0.5010479705827953
427,6.58,5.89,,5.471593875088793,,-0.41840612491120677
428,6.63,5.82,,5.397949565475674,,-0.42205043452432633
429,6.6,5.84,,5.449325325320436,,-0.3906746746795635
430,6.73,5.89,,5.317737968510337,,-0.5722620314896627
431,6.6,5.87,,4.907936633025674,,-0.9620633669743262
432,6.67,5.89,,5.706729475620636,,-0.1832705243793633
433,6.8,5.84,,5.217069369086386,,-0.622930630913614
434,6.61,5.84,,5.42370349399157,,-0.4162965060084298
435,6.54,5.94,,5.450055059915296,,-0.4899449400847047
436,6.91,5.84,,5.168083557933567,,-0.6719164420664328
437,6.76,5.84,,5.409346085962444,,-0.43065391403755626
438,6.84,5.8,,5.528951381840217,,-0.27104861815978243
439,6.63,5.84,,5.463553635141617,,-0.3764463648583831
440,6.73,5.5,,5.428617914055098,,-0.0713820859449017
441,6.58,5.8,,5.359903474711531,,-0.4400965252884692
442,6.65,5.8,,5.354466249308668,,-0.4455337506913315
443,6.56,5.77,,5.355325079645941,,-0.4146749203540585
444,6.19,5.7,,5.180210301886302,,-0.5197896981136978
445,6.76,5.73,,5.551182780818812,,-0.1788172191811883
446,6.34,6.0,,5.560286038317383,,-0.43971396168261734
447,6.88,5.98,,5.073506709653148,,-0.9064932903468526
448,7.09,5.95,5.757442232320535,5.222171357764137,-1.3325577676794644,-0.7278286422358633
449,6.75,6.16,,5.332350856319437,,-0.8276491436805635
450,6.69,5.93,5.78954048548932,5.488434739894823,-0.90045951451068,-0.44156526010517716
451,6.61,5.91,5.758384479314689,5.242651668262934,-0.8516155206853115,-0.6673483317370659
452,6.73,5.77,5.747602945529998,5.318829482158326,-0.9823970544700025,-0.45117051784167383
453,6.91,6.0,,5.485107439759252,,-0.5148925602407477
454,6.12,6.05,,4.986095043763817,,-1.0639049562361826
455,6.75,5.93,,5.471967232499632,,-0.4580327675003675
456,6.84,6.0,,5.754630527412267,,-0.24536947258773267
457,6.61,6.02,,5.414908126668318,,-0.6050918733316815
458,6.82,6.18,,5.263675082373725,,-0.9163249176262749
459,6.82,6.0,,5.130086591313223,,-0.8699134086867772
460,6.8,5.95,,5.596403896120503,,-0.35359610387949747
461,6.88,5.72,,5.539362165487911,,-0.1806378345120887
462,6.71,5.98,,5.500103778045674,,-0.47989622195432613
463,6.95,5.93,,5.479279335448905,,-0.4507206645510946
464,6.69,6.14,,4.82443945470512,,-1.31556054529488
465,6.69,6.02,,5.113628497554199,,-0.9063715024458006
466,6.8,5.91,,5.6315940634279,,-0.2784059365721001
467,6.69,6.02,,5.441060561587432,,-0.5789394384125677
468,6.67,5.98,,5.003217654274614,,-0.9767823457253861
469,6.9,5.98,,5.617372293149399,,-0.36262770685060186
470,6.65,6.03,,5.048776552169949,,-0.9812234478300512
471,6.82,6.09,,5.415834768682557,,-0.6741652313174429
472,6.82,5.89,,5.229045032832516,,-0.6609549671674833
473,6.75,6.03,,5.212973559113585,,-0.8170264408864156
474,6.63,5.91,,5.18280445214561,,-0.7271955478543903
475,6.76,6.0,,5.297940804728223,,-0.7020591952717767
476,6.73,5.98,,5.0944285019809366,,-0.8855714980190639
477,6.69,6.07,,5.511015049556492,,-0.5589849504435085
478,6.82,5.96,,5.358720817577054,,-0.601279182422946
479,6.88,6.05,,5.07625754322487,,-0.9737424567751294
480,6.91,5.96,,5.5372124259641735,,-0.42278757403582645
481,6.9,5.82,,5.056732958336037,,-0.7632670416639629
482,6.88,5.98,,5.414471180133571,,-0.5655288198664294
483,6.86,5.93,,4.998213916829859,,-0.9317860831701408
484,6.69,5.98,,5.47395179567843,,-0.5060482043215702
485,6.82,5.91,,5.033252380905016,,-0.8767476190949841
486,6.78,5.98,,5.349575297196612,,-0.6304247028033885
487,6.88,5.86,,5.317006958993654,,-0.5429930410063459
488,6.86,5.95,,5.307512861086716,,-0.6424871389132845
489,6.8,5.96,,5.219593869931306,,-0.7404061300686937
490,6.65,6.02,,4.978885742601772,,-1.0411142573982275
491,6.69,6.07,,5.016081501417186,,-1.0539184985828145
492,6.61,6.0,,5.100453620729058,,-0.8995463792709417
493,6.84,6.03,,5.696701634657299,,-0.3332983653427011
494,6.67,6.03,,4.977418756215601,,-1.0525812437843989
495,6.88,6.07,,4.546897090381931,,-1.5231029096180695
496,6.67,5.98,,5.348075750794005,,-0.6319242492059951
497,6.8,6.0,,4.568016403414849,,-1.4319835965851508
498,6.69,6.16,,4.78213095610244,,-1.3778690438975598
499,6.88,6.02,,4.701115823318582,,-1.3188841766814177
500,6.73,5.95,5.752279133948262,4.695093901931886,-0.9777208660517385,-1.2549060980681146
501,6.78,6.03,4.541385543323577,5.2705817146665686,-2.238614456676423,-0.7594182853334317
502,6.8,5.95,,5.442062875996726,,-0.5079371240032744
503,6.78,5.98,4.879146052791841,5.514377432242845,-1.9008539472081596,-0.4656225677571557
504,6.86,6.02,5.524473328998966,5.153512109141514,-1.335526671001034,-0.8664878908584859
505,6.56,6.02,,5.178921953988279,,-0.8410780460117202
506,6.75,5.88,5.172940463770365,4.946200127426173,-1.5770595362296351,-0.933799872573827
507,6.56,5.75,4.014590542894561,5.113067133033438,-2.545409457105438,-0.6369328669665624
508,6.71,5.96,5.894140818997112,5.513522799695385,-0.8158591810028879,-0.44647720030461535
509,6.86,5.95,5.764437371185385,5.327921923909877,-1.0955626288146156,-0.6220780760901228
510,6.71,5.98,4.4619647540450265,5.664228571912067,-2.2480352459549735,-0.3157714280879338
