wire_number,mu_A,mu_B,n_A,n_B
62,5.985440092533724,5.821900547176268,8,8
63,6.06338779896091,5.880627999385222,8,8
64,5.873504004313001,5.948175435468686,8,8
65,5.822398372595469,5.9087190925684965,8,8
66,5.858345994648007,6.090123609132547,8,8
67,5.959782863176722,5.8788989288477875,8,8
68,5.751567889646705,5.778685154621007,8,8
69,5.827100903293831,5.898795712124721,8,8
70,5.8655870648572925,5.837980208088461,8,8
71,5.663741492417918,5.7189304789366044,8,8
72,5.698639496833258,5.715536618196753,8,8
73,5.7183111731301635,5.768753814828363,8,8
74,5.775677051946329,5.947784171131082,8,8
75,5.9364404308497605,5.58699872288421,8,8
76,5.791271654201085,5.872165493759782,8,8
77,5.968127161684507,5.9745774901152595,8,8
78,6.023593653223628,5.939752847046285,8,8
79,5.851646680997945,5.968916310290124,8,8
80,5.893828633477787,5.924341071498725,8,8
81,5.819964050053212,5.8522794635206825,8,8
82,5.844926673947149,5.945316747166436,8,8
83,5.87120028039266,5.738784277681397,8,8
84,5.8955815068264465,5.86904188131623,8,8
85,5.885784444548401,5.863057953793312,8,8
86,5.7697082752840565,5.755124054173024,8,8
87,5.846611882555644,5.868816398879489,8,8
88,6.045433989740252,5.800173350168728,8,8
89,5.854647215111489,5.699948823053568,8,8
90,6.019933906372852,5.9137739967304634,8,8
91,6.094228013327887,6.035123928740891,8,8
92,6.15862200648307,5.750269785489873,8,8
93,5.795615442912698,6.047004289269605,8,8
94,5.907998713183172,5.849423921266954,8,8
95,5.992547901494943,5.667519840611467,8,8
96,5.903953484286944,5.852068631473477,8,8
97,5.923033124905798,5.640217035541271,8,8
98,5.826060530106242,5.81059658832228,8,8
99,5.979504944776479,5.81948397330769,8,8
100,5.976152798793953,5.705650983381101,8,8
101,5.897792453948952,5.7461369032927445,8,8
102,5.861456212202732,5.668757072256518,8,8
103,5.942599188808299,5.619257844618764,8,8
104,5.790394986701724,5.839252354615878,8,8
105,5.845663127800039,5.697150574699588,8,8
106,5.730567593076827,5.76307891470403,8,8
107,5.747065256816258,5.781102931290441,8,8
108,5.79876157329827,5.771792183307417,8,8
109,5.723103405026065,5.8532381177243895,8,8
110,5.553978099543608,5.701184920975338,8,8
111,5.948746540851585,5.8578845460609115,8,8
112,5.814953023078347,5.697710414913807,8,8
113,5.715647377109401,5.881854946370107,8,8
114,5.750545463427487,5.707618635715445,8,8
115,5.57287031604938,5.633377826568264,8,8
116,5.730230939829829,5.812046562018864,8,8
117,5.815748435326853,5.846699358890371,8,8
118,5.7967299436213064,5.575453218674445,8,8
119,5.8692631894489296,5.793216187353336,8,8
120,5.8943654948127335,5.979995520267499,8,8
121,6.112060622632683,5.834582345898422,8,8
122,5.880088879762448,5.947682773419901,8,8
123,5.764621773068501,5.826158309971029,8,8
124,5.923877826844024,5.888595408396182,8,8
125,5.651320582388545,6.0603843758678995,8,8
126,5.8483111741018545,5.911824479997062,8,8
127,5.981230207137304,6.065573795229556,8,8
128,5.839086156635124,5.963151051250531,8,8
129,6.056956800869715,6.113612215497839,8,8
130,5.9911627643669805,5.923874799003765,8,8
131,5.895094472240736,6.001901867438448,8,8
132,5.932763464493502,5.980333175308356,8,8
133,5.921040129734809,5.987622179947175,8,8
134,6.045602385258146,5.928586661921125,8,8
135,5.903532246593171,5.920920163431282,8,8
136,5.948259714540605,5.951539506930713,8,8
137,6.073252652286714,5.932769096090326,8,8
138,5.910933211898634,6.10461160987826,8,8
139,5.934781495154985,5.898485462991241,8,8
140,5.98317746594837,5.922378152628095,8,8
141,6.179463374735448,5.942185205692438,8,8
142,6.024385150481254,5.801502900879846,8,8
143,5.995244989143534,6.036267545037386,8,8
144,5.878958599599768,5.883761215705213,8,8
145,6.080015156117662,5.736372754000767,8,8
146,5.876083729079541,5.879170928329696,8,8
147,6.036468220199248,5.849854703859594,8,8
148,6.066395287450782,6.1078206016663605,8,8
149,5.743720031170042,6.005781254390111,8,8
150,6.055966564293058,5.985727761403034,8,8
151,5.968247754413914,5.97825989340577,8,8
152,6.289366608817104,6.01285704896165,8,8
153,5.990870748463779,5.9639881462011495,8,8
154,5.961107758851148,6.188623896220685,8,8
155,6.04163328284274,6.0019759471304575,8,8
156,5.911901002748912,5.906559321698479,8,8
157,6.147454703299312,6.054640924460711,8,8
158,5.727644943435045,5.963399146656649,8,8
159,5.921673488952949,5.9290373548406805,8,8
160,6.044884790843865,5.989407557569351,8,8
161,5.870190051566363,6.077516153766124,8,8
162,5.879500020375231,5.945993122745234,8,8
163,5.91280616816434,5.985558255373249,8,8
164,5.793186432810286,6.025522668512268,8,8
165,6.000553767799122,5.812782185436101,8,8
166,6.058934066146284,6.193049881801251,8,8
167,6.120071835854871,5.88055572929307,8,8
168,6.132136079831573,5.8172789555822675,8,8
169,6.108676919045454,5.913128845099509,8,8
170,6.10710859583323,5.9199701475586455,8,8
171,5.833579711820089,5.967118859032617,8,8
172,6.02687169212083,5.948189996573133,8,8
173,6.05899488501465,5.907297324550829,8,8
174,6.125002220322301,5.928705946366422,8,8
175,6.034944449305184,5.955197280865288,8,8
176,6.0790543231263126,6.064429155245544,8,8
177,6.112331957979551,5.968883696733421,8,8
178,6.052370762314086,5.907816892534836,8,8
179,6.1545914515073346,5.983596380521622,8,8
180,6.197855161631727,5.864332365070196,8,8
181,6.04215741467654,5.917923172693364,8,8
182,6.063562340980276,5.796574195849027,8,8
183,5.9904677893464084,5.988841841522577,8,8
184,5.8779889061577215,5.858730992601722,8,8
185,6.115516133542491,5.693806076087325,8,8
186,6.048490290267955,5.892336940518409,8,8
187,6.180231215608583,5.959588452412863,8,8
188,6.173714673997854,6.045495752488466,8,8
189,6.1744318404639875,5.848107721204029,7,8
190,6.200588312074393,5.960911566632154,8,8
191,5.881799376896733,5.853292599975063,8,8
192,6.176414134449111,5.906583093202599,8,8
193,5.947214287917314,5.853562231015339,8,8
194,6.082057661916176,5.913911273717098,8,8
195,5.982095736394961,5.85159273836177,8,8
196,6.201077386241236,5.864328155591796,8,8
197,5.9919281851881525,5.93098829177457,8,8
198,6.187011219606972,6.049026677862567,8,8
199,6.247039594183149,5.921318775936069,8,8
200,6.041143715402207,5.945904460027716,8,8
201,6.186850507800024,6.074553945732795,8,8
202,6.105966298863111,6.036871637229323,8,8
203,6.144010792712725,6.081833217652328,8,8
204,6.032540692009988,6.058853964129643,8,8
205,6.183617420438992,6.03844024802188,8,8
206,6.00444918462177,6.228242909169962,8,8
207,5.977633125323774,6.033982610946383,8,8
208,6.104338466662524,6.036348522070318,8,8
209,6.265504804368034,5.96629186250614,8,8
210,6.157867364572537,5.929724890034949,8,8
211,6.1753908658261905,5.859044390522455,8,8
212,6.248812207724935,6.022072119324267,8,8
213,6.0848202319376945,5.864487321219054,8,8
214,6.26970904784036,5.8760935858408985,8,8
215,6.401905605779351,5.9038006024586185,8,8
216,6.217515669364316,6.211877757494789,8,8
217,6.213847556884204,5.893121563823314,8,8
218,6.14703033526742,5.889012796065391,8,8
219,6.013972117317415,6.100055858996563,8,8
220,6.195679589423916,6.011297468042194,8,8
221,5.998610249654511,5.893202574733897,8,8
222,6.134461836602087,5.9268706439066925,8,8
223,6.055967009673546,5.7673507178127705,8,8
224,6.255226245010382,5.924116305443943,8,8
225,6.045018632798429,5.901886950223846,8,8
226,5.892894074186125,5.839711124250114,8,8
227,5.973052037130045,6.0529656162483985,8,8
228,6.075624534408256,5.823619182428243,8,8
