wire_number,A_baseline_json_value,B_reversed_json_value,A_baseline_mapped_wire,B_reversed_mapped_wire,A_baseline_residual,B_reversed_residual,A_baseline_summary_value,B_reversed_summary_value
113,5.88,5.86,113,369,-0.44076992131373594,0.24221309823023063,5.439230078686264,6.102213098230231
114,5.7,5.79,114,368,0.17774279721273611,-0.19828682240480244,5.877742797212736,5.591713177595198
115,5.85,5.65,115,367,-0.39226173557606536,-0.39355260991301577,5.457738264423934,5.256447390086985
116,5.91,5.67,116,366,-0.4423693517356515,-0.42241802757873526,5.467630648264349,5.247581972421265
117,5.94,5.77,117,365,-0.4645694924001811,-0.38916482592560087,5.475430507599819,5.380835174074399
118,5.96,5.85,118,364,-0.44717368712696715,-0.5158566308242349,5.512826312873033,5.334143369175765
119,5.96,5.7,119,363,-0.5681274759929043,-0.6737257200318565,5.391872524007096,5.026274279968144
120,6.72,5.97,120,362,-0.9995751594276809,-0.03203560011076956,5.720424840572319,5.93796439988923
121,6.36,5.97,121,361,-0.4633678771983023,-0.2706620978997041,5.896632122801698,5.699337902100296
122,5.77,5.79,122,360,-0.28596168372393116,-0.4969870938367693,5.484038316276068,5.293012906163231
123,5.7,5.82,123,359,-0.4253197883298947,0.6411932406213321,5.2746802116701055,6.461193240621332
124,6.27,5.88,124,358,-0.5501932830569878,-0.18210980624853423,5.719806716943012,5.697890193751466
125,5.7,5.65,125,357,-0.42344725380797943,0.06761503361777699,5.276552746192021,5.717615033617777
126,5.8,5.79,126,356,-0.574908200780972,0.139291728785083,5.225091799219028,5.929291728785083
127,6.06,5.65,127,355,-0.23274103125914802,0.7191735257968785,5.827258968740852,6.369173525796879
128,6.13,5.79,128,354,-0.5390314526634459,0.13308307592843605,5.590968547336554,5.923083075928436
129,6.05,5.85,129,353,-0.489633373103711,0.34636087221770584,5.560366626896289,6.1963608722177055
130,6.06,5.73,130,352,-0.48660963775016075,0.4468760732783492,5.573390362249839,6.17687607327835
131,6.21,5.89,131,351,-0.3408209147136141,-0.27354548413362334,5.869179085286386,5.616454515866376
132,6.17,6.06,132,350,-0.6342587429838913,-0.2962106586183113,5.535741257016109,5.763789341381688
133,6.03,6.02,133,349,-0.5447591287981455,0.44656745380053753,5.485240871201855,6.466567453800537
134,5.96,5.88,134,348,-0.1276807010922063,0.6478381854368127,5.832319298907794,6.527838185436813
135,5.74,5.79,135,347,-0.5912032609505111,0.5268679243218237,5.148796739049489,6.316867924321824
136,6.13,6.02,136,346,-0.30011595063831464,-0.5518264675897644,5.829884049361685,5.468173532410235
137,6.28,5.76,137,345,-0.5472452956429192,0.17148449181354852,5.732754704357081,5.931484491813548
138,5.92,5.89,138,344,-0.5171885568827683,0.141768929510536,5.402811443117232,6.031768929510536
139,5.79,5.99,139,343,-0.46446724663754324,-0.28911542621337993,5.325532753362457,5.70088457378662
140,6.02,6.06,140,342,-0.5040511490013895,-1.0167925373416322,5.51594885099861,5.043207462658367
141,5.99,5.62,141,341,0.2702335717942228,0.11501106323051324,6.260233571794223,5.735011063230513
142,6.33,5.82,142,340,-0.46125601103660685,-0.47477722637442543,5.868743988963393,5.345222773625575
143,5.74,5.74,143,339,-0.3089114588476294,0.1407439319300119,5.431088541152371,5.880743931930012
144,6.05,6.05,144,338,-0.48288856431993654,-0.27539336416823534,5.567111435680063,5.7746066358317645
145,6.08,6.21,145,337,-0.3200988042432673,-0.7259537051209772,5.759901195756733,5.484046294879023
146,5.82,6.03,146,336,-0.4764042601209919,-0.5081659860338323,5.343595739879008,5.521834013966168
147,6.25,6.03,147,335,-0.5422289717095108,-0.5459628235238805,5.707771028290489,5.48403717647612
148,6.08,6.05,148,334,-0.5959559847224121,0.5758706410440446,5.484044015277588,6.625870641044044
149,5.96,6.0,149,333,-0.44243009804810374,0.32486832383183817,5.517569901951896,6.324868323831838
150,5.83,6.11,150,332,-0.4469867178246405,-0.05942887921405848,5.38301328217536,6.050571120785942
151,6.08,5.96,151,331,-0.3713370555842834,-0.03691810861858702,5.708662944415717,5.923081891381413
152,5.74,6.08,152,330,-0.05342486878278496,-0.38066325985814764,5.686575131217215,5.699336740141852
153,5.85,6.14,153,329,-0.19564419882795914,-0.872817773594381,5.6543558011720405,5.267182226405619
154,5.99,5.77,154,328,-0.5791452214029214,0.21072886263023083,5.410854778597079,5.98072886263023
155,5.73,6.0,155,327,-0.6941077143917314,-0.2998603183360844,5.035892285608269,5.700139681663916
156,6.06,5.73,156,326,-0.39744014357578816,0.5479467136369234,5.6625598564242114,6.277946713636924
157,5.73,5.97,157,325,-0.4269615046409765,0.3006025030499968,5.303038495359024,6.270602503049997
158,5.94,5.89,158,324,-0.35199567123271613,-0.42477615488227816,5.588004328767284,5.4652238451177215
159,5.7,5.92,159,323,-0.4711181174808008,-0.7379223008215741,5.228881882519199,5.182077699178426
160,5.91,5.92,160,322,-0.3756672006279622,-0.1699908312925098,5.534332799372038,5.75000916870749
161,5.89,5.89,161,321,-0.4059605439238645,0.10663227124405772,5.484039456076135,5.996632271244057
162,5.74,5.76,162,320,-0.6488657333935839,-0.4620085338482349,5.091134266606416,5.297991466151765
163,6.16,5.82,163,319,-0.46072135762931943,-0.5629366160618243,5.699278642370681,5.257063383938176
164,5.86,5.61,164,318,-0.4861805521657496,-0.2997599527280963,5.373819447834251,5.310240047271904
165,6.03,5.64,165,317,-0.34995052919942893,-0.46503306611273043,5.680049470800571,5.174966933887269
166,6.28,5.62,166,316,-0.4825787605772689,0.4679354265952833,5.797421239422731,6.087935426595283
167,5.77,5.7,167,315,0.27123754756546337,0.2231363806670661,6.041237547565463,5.923136380667066
168,5.79,6.05,168,314,0.0025084441023368598,-0.9724371511374388,5.792508444102337,5.077562848862561
169,6.02,5.73,169,313,0.06801708930811845,-0.2796706002147582,6.088017089308118,5.450329399785242
170,6.1,5.85,170,312,-0.18584977671468828,-0.6498765233390049,5.914150223285311,5.200123476660995
171,5.74,5.85,171,311,0.9164503830701003,-0.07308784050445194,6.6564503830701005,5.776912159495548
172,5.86,5.94,172,310,-0.3527445120474395,-0.6963575451671051,5.507255487952561,5.243642454832895
173,5.94,5.74,173,309,0.42003424341675366,0.27767544335546557,6.360034243416754,6.017675443355466
