side,wire_number,x,y,time
B,228,2717.0,275.8,2024-11-21_10-11-10
B,229,2725.0,275.8,2024-11-21_10-11-11
B,230,2733.0,275.8,2024-11-21_10-11-12
B,231,2741.0,275.8,2024-11-21_10-11-14
B,232,2749.0,275.8,2024-11-21_10-11-16
B,233,2757.0,275.8,2024-11-21_10-11-17
B,234,2765.0,275.8,2024-11-21_10-11-20
B,235,2773.0,275.8,2024-11-21_10-11-23
B,236,2781.0,275.8,2024-11-21_10-11-25
B,237,2789.0,275.8,2024-11-21_10-11-26
B,238,2797.0,275.8,2024-11-21_10-11-29
B,239,2805.0,275.8,2024-11-21_10-11-31
B,240,2813.0,275.8,2024-11-21_10-11-33
B,241,2821.0,275.8,2024-11-21_10-11-34
B,242,2829.0,275.8,2024-11-21_10-11-38
B,243,2837.0,275.8,2024-11-21_10-11-40
B,244,2845.0,275.8,2024-11-21_10-11-43
B,245,2853.0,275.8,2024-11-21_10-11-46
B,246,2861.0,275.8,2024-11-21_10-11-50
B,247,2869.0,275.8,2024-11-21_10-11-52
B,248,2877.0,275.8,2024-11-21_10-11-54
B,249,2885.0,275.8,2024-11-21_10-11-55
B,250,2893.0,275.8,2024-11-21_10-11-58
B,251,2901.0,275.8,2024-11-21_10-12-01
B,252,2909.0,275.8,2024-11-21_10-12-09
B,253,2917.0,275.8,2024-11-21_10-12-14
B,254,2925.0,275.8,2024-11-21_10-12-18
B,255,2933.0,275.8,2024-11-21_10-12-19
B,256,2941.0,275.8,2024-11-21_10-12-21
B,257,2949.0,275.8,2024-11-21_10-12-24
B,258,2957.0,275.8,2024-11-21_10-12-26
B,259,2965.0,275.8,2024-11-21_10-12-28
B,260,2973.0,275.8,2024-11-21_10-12-30
B,261,2981.0,275.8,2024-11-21_10-12-32
B,262,2989.0,275.8,2024-11-21_10-12-33
B,263,2997.0,275.8,2024-11-21_10-12-36
B,264,3005.0,275.8,2024-11-21_10-12-38
B,265,3013.0,275.8,2024-11-21_10-12-40
B,266,3021.0,275.8,2024-11-21_10-12-42
