a1,a2,a3,a4
5.93,5.88,6.01,6.035215447
5.85,5.84,5.89,5.937559728
5.95,5.9,5.83,5.999390277
5.75,6.11,6.13,6.555974272
5.99,5.95,6.23,6.003752555
5.93,5.86,5.96,5.752754965
5.46,5.81,5.91,5.865253048
5.74,5.3,5.9,5.957191038
5.81,5.73,6.27,6.148802661
5.71,5.73,5.99,6.015321359
5.48,5.94,5.99,5.141803638
6.02,6.03,5.97,6.00024324
6.15,6.06,6.01,6.019948668
5.44,5.97,5.96,5.938872154
5.32,5.8,5.68,5.948237298
5.85,5.98,6.02,5.94100345
5.52,5.81,5.77,5.804028091
5.87,5.88,5.67,5.782481062
6.01,5.46,5.95,5.988049047
5.78,5.86,5.93,6.042956911
5.65,5.85,5.84,5.949364808
6,5.94,6.01,5.8651338
6.01,6.11,6.14,6.063550216
6.02,6.05,5.99,5.906435138
5.76,5.77,5.83,5.984492081
5.37,5.48,5.44,5.329024716
5.97,5.77,5.85,5.495276298
5.7,5.96,5.4,6.046496239
6.17,6.03,6.15,6.1406089
5.59,5.76,5.09,5.729995545
5.93,5.92,6.02,5.967576866
5.51,5.8,5.13,5.134562449
5.54,5.94,5.84,5.895409828
5.91,5.85,5.82,5.902001504
5.54,5.83,5.76,5.755114469
5.9,5.74,5.74,5.631716611
5.9,5.6,5.95,5.691761995
5.84,6.02,6.15,5.191977843
5.45,5.77,5.68,5.596349511
5.86,5.54,5.69,5.675032868
5.84,5.65,5.85,5.656072699
6.08,5.37,5.99,5.961013446
6.05,6.1,5.96,5.420214474
5.77,5.87,6.46,5.258995212
6.17,6.16,6,6.105806732
5.36,5.52,5.65,5.35282795
6.02,6.13,6.07,5.446230871
5.62,5.62,5.89,5.770022501
6.03,6.22,6.16,6.33448337
5.31,5.51,5.77,5.838896325
5.41,5.88,5.87,5.884484304
5.48,5.35,5.83,5.697756404
5.43,5.83,5.71,5.967027538
5.69,6.05,5.25,5.851599669
5.34,5.63,5.8,5.667564853
5.48,5.55,5.58,5.803433975
5.9,5.76,5.76,5.605286286
5.6,5.96,6,5.95159092
5.32,5.4,5.67,5.505874309
5.68,5.83,5.91,5.455068071
6.14,5.93,6.1,6.060206121
5.95,5.27,5.98,5.435587979
5.61,5.8,5.9,5.904415422
6.03,6.13,5.96,6.088774426
5.95,5.86,6,5.792023788
5.71,5.8,5.77,5.668446655
5.87,6.16,6.33,6.00334103
5.64,5.87,5.56,5.796432039
6.35,5.95,6.53,5.753446654
5.62,5.84,5.99,6.050113668
5.69,5.77,5.86,5.61989864
6.09,6.01,6.42,6.142879741
5.89,5.85,5.88,5.838426419
5.93,5.79,6.08,6.130096194
5.96,6.05,6.29,5.537673825
5.91,5.94,6.06,5.932317464
5.69,6.03,5.96,5.483737517
